dataset,bearing,seed,mae_base,mae_hi_frozen_healthy,mae_hi_shuffled,mae_embedding_occluded,degradation_if_hi_frozen,degradation_if_emb_occluded,grad_hi_mean,grad_hi_E,grad_hi_C,grad_hi_VTOI,grad_emb_norm_mean,grad_ratio_hi_over_emb
pronostia,Full_Test_Set_Bearing1_3,42,0.1998,0.1973,0.1993,0.3304,-0.0024,0.1307,0.016526,0.016333,0.012898,0.020347,0.018852,2.6298
pronostia,Full_Test_Set_Bearing1_4,42,0.2207,0.2284,0.2209,0.3343,0.0078,0.1136,0.011206,0.012126,0.008956,0.012535,0.024765,1.3575
pronostia,Full_Test_Set_Bearing1_5,42,0.2874,0.2879,0.2874,0.3613,0.0005,0.0739,0.008731,0.009774,0.005787,0.010632,0.017994,1.4557
pronostia,Full_Test_Set_Bearing1_6,42,0.2838,0.2854,0.284,0.3512,0.0016,0.0675,0.011136,0.01503,0.004631,0.013749,0.015175,2.2016
pronostia,Full_Test_Set_Bearing1_7,42,0.2915,0.2931,0.2917,0.3513,0.0015,0.0598,0.010436,0.012965,0.008704,0.009638,0.021122,1.4822
pronostia,Full_Test_Set_Bearing2_3,42,0.2961,0.2959,0.2961,0.3526,-0.0002,0.0566,0.012303,0.012263,0.010515,0.014132,0.015445,2.3898
pronostia,Full_Test_Set_Bearing2_4,42,0.2991,0.2991,0.2989,0.3443,-0.0001,0.0452,0.005984,0.010325,0.004867,0.002759,0.022202,0.8085
pronostia,Full_Test_Set_Bearing2_5,42,0.3056,0.3059,0.3056,0.3416,0.0003,0.036,0.012911,0.013199,0.009605,0.015928,0.021446,1.806
pronostia,Full_Test_Set_Bearing2_6,42,0.2867,0.2882,0.2871,0.3576,0.0015,0.0709,0.015049,0.016525,0.010397,0.018224,0.016582,2.7226
pronostia,Full_Test_Set_Bearing2_7,42,0.2722,0.2768,0.2777,0.3482,0.0045,0.076,0.032139,0.035397,0.023415,0.037606,0.022666,4.2539
pronostia,Full_Test_Set_Bearing3_3,42,0.22,0.242,0.2229,0.3349,0.022,0.1149,0.062208,0.068951,0.052522,0.065151,0.028798,6.4804
pronostia,Learning_set_Bearing1_1,42,0.2649,0.2672,0.2649,0.3567,0.0023,0.0918,0.007405,0.011398,0.004173,0.006643,0.03036,0.7317
pronostia,Learning_set_Bearing1_2,42,0.2865,0.2867,0.2863,0.3586,0.0003,0.0722,0.01457,0.019632,0.01026,0.013818,0.019253,2.2703
pronostia,Learning_set_Bearing2_1,42,0.297,0.2974,0.297,0.3528,0.0004,0.0558,0.007717,0.009667,0.005082,0.008403,0.022238,1.0411
pronostia,Learning_set_Bearing2_2,42,0.3403,0.326,0.3402,0.3617,-0.0143,0.0213,0.02776,0.031551,0.021398,0.03033,0.040489,2.0568
pronostia,Learning_set_Bearing3_1,42,0.2659,0.2673,0.2662,0.3391,0.0014,0.0733,0.015578,0.02014,0.008314,0.018282,0.01958,2.3869
pronostia,Learning_set_Bearing3_2,42,0.2738,0.2752,0.2739,0.3517,0.0014,0.0779,0.022157,0.026036,0.013163,0.027273,0.020495,3.2432
xjtu_sy,35Hz12kN_Bearing1_1,42,0.1315,0.1342,0.1309,0.3556,0.0026,0.224,0.013831,0.014905,0.01037,0.016218,0.030059,1.3803
xjtu_sy,35Hz12kN_Bearing1_2,42,0.3295,0.2702,0.3295,0.4089,-0.0593,0.0794,0.058769,0.063646,0.049572,0.063088,0.034804,5.0657
xjtu_sy,35Hz12kN_Bearing1_3,42,0.2302,0.2367,0.2303,0.3436,0.0065,0.1134,0.007851,0.009092,0.007237,0.007223,0.025763,0.9142
xjtu_sy,35Hz12kN_Bearing1_4,42,0.2811,0.2847,0.2815,0.3632,0.0037,0.0821,0.012941,0.014034,0.009179,0.01561,0.017889,2.1702
xjtu_sy,35Hz12kN_Bearing1_5,42,0.1675,0.1832,0.1688,0.3103,0.0156,0.1428,0.040373,0.044375,0.027794,0.04895,0.032063,3.7775
xjtu_sy,37.5Hz11kN_Bearing2_1,42,0.2583,0.26,0.2583,0.3496,0.0017,0.0914,0.004974,0.006672,0.002302,0.00595,0.020893,0.7143
xjtu_sy,37.5Hz11kN_Bearing2_2,42,0.2502,0.2033,0.2501,0.3854,-0.0469,0.1352,0.05114,0.05192,0.043535,0.057965,0.026223,5.8506
xjtu_sy,37.5Hz11kN_Bearing2_3,42,0.1294,0.1315,0.1294,0.3439,0.0021,0.2145,0.012849,0.018825,0.006691,0.01303,0.020924,1.8422
xjtu_sy,37.5Hz11kN_Bearing2_4,42,0.1445,0.1457,0.1426,0.3448,0.0012,0.2003,0.007815,0.007878,0.007225,0.008343,0.026628,0.8805
xjtu_sy,37.5Hz11kN_Bearing2_5,42,0.3333,0.3357,0.3333,0.3579,0.0024,0.0246,0.011031,0.0116,0.004606,0.016886,0.033655,0.9833
xjtu_sy,40Hz10kN_Bearing3_1,42,0.252,0.2545,0.252,0.3459,0.0025,0.0939,0.00869,0.010406,0.005919,0.009744,0.014813,1.7598
xjtu_sy,40Hz10kN_Bearing3_2,42,0.2602,0.2688,0.2603,0.347,0.0086,0.0867,0.023293,0.025191,0.022156,0.022532,0.023779,2.9386
xjtu_sy,40Hz10kN_Bearing3_3,42,0.2478,0.2717,0.2478,0.3385,0.0239,0.0907,0.050465,0.060125,0.031278,0.059992,0.027692,5.4672
xjtu_sy,40Hz10kN_Bearing3_4,42,0.2926,0.2935,0.2926,0.34,0.0009,0.0474,0.005269,0.005448,0.006817,0.003543,0.020455,0.7728
xjtu_sy,40Hz10kN_Bearing3_5,42,0.4494,0.4461,0.4497,0.3474,-0.0033,-0.102,0.029116,0.032097,0.025448,0.029802,0.06723,1.2992
