dataset,predictor,mae_norm_mean,mae_norm_std,n,proposed_wins,p_vs_proposed,holm_p
PRONOSTIA,Naive mean,0.2943,0.0002,17,14/17,0.0046,0.046
PRONOSTIA,"RMS-only, Ridge",0.2815,0.0199,17,14/17,0.0129,0.1032
PRONOSTIA,"Handcrafted, Ridge",0.2734,0.0281,17,12/17,0.2842,0.8312
PRONOSTIA,"Handcrafted, RF",0.2663,0.0771,17,7/17,0.2842,0.8312
PRONOSTIA,"Handcrafted, XGBoost",0.2539,0.0732,17,4/17,0.0202,0.1414
PRONOSTIA,"VTOI-conditioned (vtoi_static, deep)",0.2712,0.0379,17,-,,
XJTU-SY,Naive mean,0.2954,0.0014,15,13/15,0.0067,0.0603
XJTU-SY,"RMS-only, Ridge",0.2501,0.0804,15,12/15,0.1205,0.6025
XJTU-SY,"Handcrafted, Ridge",0.2743,0.099,15,11/15,0.0946,0.5676
XJTU-SY,"Handcrafted, RF",0.2883,0.0949,15,8/15,0.2078,0.8312
XJTU-SY,"Handcrafted, XGBoost",0.2741,0.0698,15,9/15,0.2524,0.8312
XJTU-SY,"VTOI-conditioned (vtoi_static, deep)",0.2393,0.0797,15,-,,
