dataset,bearing,n_draws,random_fitness_mean,random_fitness_max,random_fitness_sd
PRONOSTIA,Full_Test_Set_Bearing1_3,300,0.6202,1.0733,0.1534
PRONOSTIA,Full_Test_Set_Bearing1_4,300,0.6076,0.9993,0.1474
PRONOSTIA,Full_Test_Set_Bearing1_5,300,0.614,0.9787,0.1419
PRONOSTIA,Full_Test_Set_Bearing1_6,300,0.5952,0.9447,0.1339
PRONOSTIA,Full_Test_Set_Bearing1_7,300,0.5836,0.9791,0.1423
PRONOSTIA,Full_Test_Set_Bearing2_3,300,0.6185,1.0331,0.1526
PRONOSTIA,Full_Test_Set_Bearing2_4,300,0.6329,1.0726,0.1531
PRONOSTIA,Full_Test_Set_Bearing2_5,300,0.6272,1.0613,0.1538
PRONOSTIA,Full_Test_Set_Bearing2_6,300,0.6053,0.9572,0.1417
PRONOSTIA,Full_Test_Set_Bearing2_7,300,0.5916,0.9325,0.1406
PRONOSTIA,Full_Test_Set_Bearing3_3,300,0.5722,0.9151,0.1341
PRONOSTIA,Learning_set_Bearing1_1,300,0.5809,0.9402,0.1312
PRONOSTIA,Learning_set_Bearing1_2,300,0.5995,0.9478,0.1314
PRONOSTIA,Learning_set_Bearing2_1,300,0.58,0.9006,0.1215
PRONOSTIA,Learning_set_Bearing2_2,300,0.6034,0.9575,0.1345
PRONOSTIA,Learning_set_Bearing3_1,300,0.618,0.9818,0.1417
PRONOSTIA,Learning_set_Bearing3_2,300,0.5804,0.923,0.1345
XJTU-SY,35Hz12kN_Bearing1_1,300,1.0007,1.4693,0.181
XJTU-SY,35Hz12kN_Bearing1_2,300,1.0057,1.4872,0.1965
XJTU-SY,35Hz12kN_Bearing1_3,300,1.0629,1.5089,0.2185
XJTU-SY,35Hz12kN_Bearing1_4,300,1.0501,1.5211,0.2075
XJTU-SY,35Hz12kN_Bearing1_5,300,1.0135,1.5412,0.1998
XJTU-SY,37.5Hz11kN_Bearing2_1,300,1.027,1.5038,0.1918
XJTU-SY,37.5Hz11kN_Bearing2_2,300,1.0146,1.4718,0.1829
XJTU-SY,37.5Hz11kN_Bearing2_3,300,0.9926,1.4908,0.1999
XJTU-SY,37.5Hz11kN_Bearing2_4,300,0.9875,1.465,0.2106
XJTU-SY,37.5Hz11kN_Bearing2_5,300,1.0378,1.5051,0.2134
XJTU-SY,40Hz10kN_Bearing3_1,300,0.9944,1.5236,0.2118
XJTU-SY,40Hz10kN_Bearing3_2,300,0.9799,1.5009,0.2098
XJTU-SY,40Hz10kN_Bearing3_3,300,1.0564,1.5786,0.2073
XJTU-SY,40Hz10kN_Bearing3_4,300,1.0227,1.5323,0.2005
XJTU-SY,40Hz10kN_Bearing3_5,300,0.9991,1.4708,0.1897
