dataset,bearing,seed,fitness_train,mono_holdout,trend_holdout
PRONOSTIA,Full_Test_Set_Bearing1_3,42,1.2647,0.0067,0.3423
PRONOSTIA,Full_Test_Set_Bearing1_3,43,1.2633,0.0042,0.3354
PRONOSTIA,Full_Test_Set_Bearing1_3,44,1.2636,0.0059,0.3434
PRONOSTIA,Full_Test_Set_Bearing1_4,42,1.2523,0.0119,0.1827
PRONOSTIA,Full_Test_Set_Bearing1_4,43,1.2516,0.0147,0.1744
PRONOSTIA,Full_Test_Set_Bearing1_4,44,1.2491,0.0119,0.2009
PRONOSTIA,Full_Test_Set_Bearing1_5,42,1.2768,0.0049,0.0139
PRONOSTIA,Full_Test_Set_Bearing1_5,43,1.2716,0.0024,0.0079
PRONOSTIA,Full_Test_Set_Bearing1_5,44,1.2758,0.0041,0.0079
PRONOSTIA,Full_Test_Set_Bearing1_6,42,1.2476,0.0143,0.0509
PRONOSTIA,Full_Test_Set_Bearing1_6,43,1.2474,0.0127,0.082
PRONOSTIA,Full_Test_Set_Bearing1_6,44,1.2487,0.0086,0.0474
PRONOSTIA,Full_Test_Set_Bearing1_7,42,1.2379,0.008,0.4538
PRONOSTIA,Full_Test_Set_Bearing1_7,43,1.2387,0.008,0.5129
PRONOSTIA,Full_Test_Set_Bearing1_7,44,1.2395,0.0115,0.5417
PRONOSTIA,Full_Test_Set_Bearing2_3,42,1.2741,0.0061,0.2318
PRONOSTIA,Full_Test_Set_Bearing2_3,43,1.2737,0.0041,0.236
PRONOSTIA,Full_Test_Set_Bearing2_3,44,1.2732,0.0061,0.2299
PRONOSTIA,Full_Test_Set_Bearing2_4,42,1.2771,0.0187,0.0855
PRONOSTIA,Full_Test_Set_Bearing2_4,43,1.2764,0.0053,0.0846
PRONOSTIA,Full_Test_Set_Bearing2_4,44,1.2762,0.0,0.0792
PRONOSTIA,Full_Test_Set_Bearing2_5,42,1.256,0.0026,0.3717
PRONOSTIA,Full_Test_Set_Bearing2_5,43,1.2568,0.0156,0.3301
PRONOSTIA,Full_Test_Set_Bearing2_5,44,1.255,0.0095,0.3262
PRONOSTIA,Full_Test_Set_Bearing2_6,42,1.2502,0.0057,0.1357
PRONOSTIA,Full_Test_Set_Bearing2_6,43,1.2493,0.0286,0.0964
PRONOSTIA,Full_Test_Set_Bearing2_6,44,1.2484,0.0,0.1345
PRONOSTIA,Full_Test_Set_Bearing2_7,42,1.21,0.048,0.3145
PRONOSTIA,Full_Test_Set_Bearing2_7,43,1.2104,0.0393,0.3129
PRONOSTIA,Full_Test_Set_Bearing2_7,44,1.2093,0.0568,0.3148
PRONOSTIA,Full_Test_Set_Bearing3_3,42,1.1906,0.0115,0.7175
PRONOSTIA,Full_Test_Set_Bearing3_3,43,1.1898,0.0115,0.7169
PRONOSTIA,Full_Test_Set_Bearing3_3,44,1.1907,0.0069,0.7147
PRONOSTIA,Learning_set_Bearing1_1,42,1.2383,0.0007,0.5978
PRONOSTIA,Learning_set_Bearing1_1,43,1.2427,0.02,0.6006
PRONOSTIA,Learning_set_Bearing1_1,44,1.239,0.0036,0.5773
PRONOSTIA,Learning_set_Bearing1_2,42,1.2435,0.0092,0.2286
PRONOSTIA,Learning_set_Bearing1_2,43,1.2348,0.0115,0.2175
PRONOSTIA,Learning_set_Bearing1_2,44,1.2381,0.0069,0.2318
PRONOSTIA,Learning_set_Bearing2_1,42,1.1884,0.0022,0.6312
PRONOSTIA,Learning_set_Bearing2_1,43,1.1883,0.0549,0.6381
PRONOSTIA,Learning_set_Bearing2_1,44,1.187,0.0484,0.6349
PRONOSTIA,Learning_set_Bearing2_2,42,1.253,0.0302,0.6751
PRONOSTIA,Learning_set_Bearing2_2,43,1.2525,0.0553,0.6775
PRONOSTIA,Learning_set_Bearing2_2,44,1.2538,0.0402,0.6721
PRONOSTIA,Learning_set_Bearing3_1,42,1.2786,0.0039,0.2413
PRONOSTIA,Learning_set_Bearing3_1,43,1.278,0.0,0.2433
PRONOSTIA,Learning_set_Bearing3_1,44,1.277,0.0195,0.251
PRONOSTIA,Learning_set_Bearing3_2,42,1.2222,0.0037,0.3008
PRONOSTIA,Learning_set_Bearing3_2,43,1.2232,0.0061,0.3
PRONOSTIA,Learning_set_Bearing3_2,44,1.2221,0.0012,0.2841
XJTU-SY,35Hz12kN_Bearing1_1,42,1.715,0.1475,0.9116
XJTU-SY,35Hz12kN_Bearing1_1,43,1.7136,0.1311,0.9067
XJTU-SY,35Hz12kN_Bearing1_1,44,1.7163,0.1475,0.9123
XJTU-SY,35Hz12kN_Bearing1_2,42,1.717,0.225,0.9482
XJTU-SY,35Hz12kN_Bearing1_2,43,1.7222,0.1375,0.9168
XJTU-SY,35Hz12kN_Bearing1_2,44,1.7155,0.175,0.933
XJTU-SY,35Hz12kN_Bearing1_3,42,1.8274,0.4395,0.8059
XJTU-SY,35Hz12kN_Bearing1_3,43,1.8235,0.4268,0.8042
XJTU-SY,35Hz12kN_Bearing1_3,44,1.822,0.414,0.8083
XJTU-SY,35Hz12kN_Bearing1_4,42,1.8429,0.0083,0.4435
XJTU-SY,35Hz12kN_Bearing1_4,43,1.8436,0.0744,0.4999
XJTU-SY,35Hz12kN_Bearing1_4,44,1.8326,0.0744,0.4354
XJTU-SY,35Hz12kN_Bearing1_5,42,1.7782,0.1765,0.8162
XJTU-SY,35Hz12kN_Bearing1_5,43,1.7838,0.1373,0.8158
XJTU-SY,35Hz12kN_Bearing1_5,44,1.7821,0.2157,0.8089
XJTU-SY,37.5Hz11kN_Bearing2_1,42,1.7974,0.0041,0.4259
XJTU-SY,37.5Hz11kN_Bearing2_1,43,1.7895,0.0041,0.4251
XJTU-SY,37.5Hz11kN_Bearing2_1,44,1.7906,0.0122,0.4247
XJTU-SY,37.5Hz11kN_Bearing2_2,42,1.7408,0.1125,0.9457
XJTU-SY,37.5Hz11kN_Bearing2_2,43,1.7331,0.125,0.9496
XJTU-SY,37.5Hz11kN_Bearing2_2,44,1.7383,0.0875,0.9455
XJTU-SY,37.5Hz11kN_Bearing2_3,42,1.7358,0.0338,0.9023
XJTU-SY,37.5Hz11kN_Bearing2_3,43,1.7363,0.0376,0.9022
XJTU-SY,37.5Hz11kN_Bearing2_3,44,1.7315,0.0338,0.9016
XJTU-SY,37.5Hz11kN_Bearing2_4,42,1.7319,0.2195,0.7887
XJTU-SY,37.5Hz11kN_Bearing2_4,43,1.7258,0.2195,0.7921
XJTU-SY,37.5Hz11kN_Bearing2_4,44,1.7336,0.122,0.7919
XJTU-SY,37.5Hz11kN_Bearing2_5,42,1.7852,0.1361,0.9233
XJTU-SY,37.5Hz11kN_Bearing2_5,43,1.7778,0.1243,0.9235
XJTU-SY,37.5Hz11kN_Bearing2_5,44,1.776,0.1124,0.9312
XJTU-SY,40Hz10kN_Bearing3_1,42,1.8266,0.0343,0.347
XJTU-SY,40Hz10kN_Bearing3_1,43,1.8274,0.0106,0.3432
XJTU-SY,40Hz10kN_Bearing3_1,44,1.8235,0.0311,0.3483
XJTU-SY,40Hz10kN_Bearing3_2,42,1.8174,0.0036,0.1245
XJTU-SY,40Hz10kN_Bearing3_2,43,1.8239,0.0092,0.2063
XJTU-SY,40Hz10kN_Bearing3_2,44,1.8175,0.002,0.2482
XJTU-SY,40Hz10kN_Bearing3_3,42,1.8211,0.027,0.4077
XJTU-SY,40Hz10kN_Bearing3_3,43,1.8227,0.0324,0.4097
XJTU-SY,40Hz10kN_Bearing3_3,44,1.8178,0.0324,0.4103
XJTU-SY,40Hz10kN_Bearing3_4,42,1.7884,0.0291,0.3693
XJTU-SY,40Hz10kN_Bearing3_4,43,1.7935,0.0238,0.3684
XJTU-SY,40Hz10kN_Bearing3_4,44,1.7863,0.0251,0.3627
XJTU-SY,40Hz10kN_Bearing3_5,42,1.7327,0.115,0.7718
XJTU-SY,40Hz10kN_Bearing3_5,43,1.7309,0.0973,0.7585
XJTU-SY,40Hz10kN_Bearing3_5,44,1.7319,0.0442,0.7579
