dataset,seed,bearing,nominal,picp,mpiw,q,n_cal
pronostia,s42,Full_Test_Set_Bearing1_3,0.8,0.5688,0.5725,0.2863,1428
pronostia,s42,Full_Test_Set_Bearing1_3,0.9,0.5768,0.5864,0.2932,1428
pronostia,s42,Full_Test_Set_Bearing1_4,0.8,0.965,0.7182,0.3591,2463
pronostia,s42,Full_Test_Set_Bearing1_4,0.9,0.9986,1.0498,0.5249,2463
pronostia,s42,Full_Test_Set_Bearing1_5,0.8,0.8047,0.7303,0.3652,2448
pronostia,s42,Full_Test_Set_Bearing1_5,0.9,0.9034,1.0593,0.5296,2448
pronostia,s42,Full_Test_Set_Bearing1_6,0.8,0.7823,0.67,0.335,2259
pronostia,s42,Full_Test_Set_Bearing1_6,0.9,0.864,0.931,0.4655,2259
pronostia,s42,Full_Test_Set_Bearing1_7,0.8,0.8455,0.7587,0.3793,1955
pronostia,s42,Full_Test_Set_Bearing1_7,0.9,0.942,1.063,0.5315,1955
pronostia,s42,Full_Test_Set_Bearing2_3,0.8,0.7744,0.6826,0.3413,751
pronostia,s42,Full_Test_Set_Bearing2_3,0.9,0.8839,1.0109,0.5054,751
pronostia,s42,Full_Test_Set_Bearing2_4,0.8,0.8682,0.9015,0.4507,2311
pronostia,s42,Full_Test_Set_Bearing2_4,0.9,0.9494,1.1757,0.5879,2311
pronostia,s42,Full_Test_Set_Bearing2_5,0.8,0.6824,0.6437,0.3218,701
pronostia,s42,Full_Test_Set_Bearing2_5,0.9,0.8213,0.963,0.4815,701
pronostia,s42,Full_Test_Set_Bearing2_6,0.8,0.8074,0.6543,0.3271,230
pronostia,s42,Full_Test_Set_Bearing2_6,0.9,0.9258,1.0436,0.5218,230
pronostia,s42,Full_Test_Set_Bearing2_7,0.8,0.7217,0.5646,0.2823,434
pronostia,s42,Full_Test_Set_Bearing2_7,0.9,0.7652,0.582,0.291,434
pronostia,s42,Full_Test_Set_Bearing3_3,0.8,0.9585,0.6746,0.3373,2803
pronostia,s42,Full_Test_Set_Bearing3_3,0.9,0.9931,0.8987,0.4493,2803
pronostia,s42,Learning_set_Bearing1_1,0.8,0.7938,0.6611,0.3305,871
pronostia,s42,Learning_set_Bearing1_1,0.9,0.9212,0.9461,0.4731,871
pronostia,s42,Learning_set_Bearing1_2,0.8,0.8335,0.7368,0.3684,911
pronostia,s42,Learning_set_Bearing1_2,0.9,0.8944,0.9243,0.4621,911
pronostia,s42,Learning_set_Bearing2_1,0.8,0.9704,1.1321,0.5661,797
pronostia,s42,Learning_set_Bearing2_1,0.9,1.0,1.3264,0.6632,797
pronostia,s42,Learning_set_Bearing2_2,0.8,0.6073,0.6781,0.3391,515
pronostia,s42,Learning_set_Bearing2_2,0.9,0.7604,1.0144,0.5072,515
pronostia,s42,Learning_set_Bearing3_1,0.8,0.8913,0.9792,0.4896,1637
pronostia,s42,Learning_set_Bearing3_1,0.9,0.9806,1.266,0.633,1637
pronostia,s42,Learning_set_Bearing3_2,0.8,0.6836,0.5977,0.2989,2375
pronostia,s42,Learning_set_Bearing3_2,0.9,0.6848,0.6025,0.3012,2375
pronostia,s43,Full_Test_Set_Bearing1_3,0.8,0.9705,0.5844,0.2922,1428
pronostia,s43,Full_Test_Set_Bearing1_3,0.9,0.9781,0.6211,0.3106,1428
pronostia,s43,Full_Test_Set_Bearing1_4,0.8,0.9972,0.7564,0.3782,2463
pronostia,s43,Full_Test_Set_Bearing1_4,0.9,1.0,1.078,0.539,2463
pronostia,s43,Full_Test_Set_Bearing1_5,0.8,0.7966,0.7462,0.3731,2448
pronostia,s43,Full_Test_Set_Bearing1_5,0.9,0.9005,1.0789,0.5395,2448
pronostia,s43,Full_Test_Set_Bearing1_6,0.8,0.8211,0.8176,0.4088,2259
pronostia,s43,Full_Test_Set_Bearing1_6,0.9,0.9199,1.1411,0.5706,2259
pronostia,s43,Full_Test_Set_Bearing1_7,0.8,0.7849,0.7662,0.3831,1955
