dataset,config,n,mean,median,hi_cols,p_vs_proposed,proposed_wins
pronostia,ctl_lifefrac,17,0.1175,0.1088,Deg_oracle,0.0,0/17
pronostia,ctl_elapsed,17,0.2501,0.2569,elapsed_norm,0.0002,2/17
pronostia,ctl_hc10,17,0.2676,0.2772,hc_RMS_x|hc_RMS_y|hc_Kurt_x|hc_Kurt_y|hc_CF_x|hc_CF_y|hc_SE_x|hc_SE_y|hc_ESE_x|hc_ESE_y,0.2247,6/17
pronostia,ctl_scalar,17,0.2708,0.276,VTOI,0.7119,7/17
pronostia,ctl_random,17,0.271,0.2803,VTOI_rand,0.6441,8/17
pronostia,vtoi_static,17,0.2712,0.2829,E_norm|C_norm|VTOI,,
pronostia,ctl_nodeg,17,0.2715,0.2786,VTOI_mono,0.4874,11/17
pronostia,ctl_EC,17,0.2719,0.2799,E_norm|C_norm,0.6441,10/17
pronostia,ctl_shuffled,17,0.272,0.2828,VTOI_shuf,0.2069,11/17
pronostia,abl_no_idxhead,17,0.2725,0.2852,,0.2633,10/17
xjtu_sy,ctl_lifefrac,15,0.1423,0.1294,Deg_oracle,0.0001,1/15
xjtu_sy,ctl_elapsed,15,0.2297,0.2385,elapsed_norm,0.107,5/15
xjtu_sy,ctl_random,15,0.2369,0.2447,VTOI_rand,0.6788,7/15
xjtu_sy,ctl_hc10,15,0.2381,0.2484,hc_RMS_x|hc_RMS_y|hc_Kurt_x|hc_Kurt_y|hc_CF_x|hc_CF_y|hc_SE_x|hc_SE_y|hc_ESE_x|hc_ESE_y,0.6387,7/15
xjtu_sy,vtoi_static,15,0.2393,0.2534,E_norm|C_norm|VTOI,,
xjtu_sy,ctl_scalar,15,0.2399,0.2421,VTOI,0.978,6/15
xjtu_sy,ctl_shuffled,15,0.24,0.2447,VTOI_shuf,0.7615,8/15
xjtu_sy,ctl_nodeg,15,0.2402,0.2421,VTOI_mono,0.7615,6/15
xjtu_sy,abl_no_idxhead,15,0.2407,0.2374,,0.9341,7/15
xjtu_sy,ctl_EC,15,0.2441,0.2542,E_norm|C_norm,0.0833,10/15
