dataset,seed,bearing,mae_norm,mae_h_retrospective,mae_h_deployable
pronostia,s42,Full_Test_Set_Bearing1_3,0.1998,0.7904,0.4677
pronostia,s42,Full_Test_Set_Bearing1_4,0.2207,0.5248,0.5144
pronostia,s42,Full_Test_Set_Bearing1_5,0.2874,1.1791,0.6374
pronostia,s42,Full_Test_Set_Bearing1_6,0.2838,1.1574,0.6359
pronostia,s42,Full_Test_Set_Bearing1_7,0.2915,1.0972,0.6693
pronostia,s42,Full_Test_Set_Bearing2_3,0.2961,0.9642,0.7293
pronostia,s42,Full_Test_Set_Bearing2_4,0.2991,0.3739,0.725
pronostia,s42,Full_Test_Set_Bearing2_5,0.3056,1.1765,0.7423
pronostia,s42,Full_Test_Set_Bearing2_6,0.2867,0.3344,0.7626
pronostia,s42,Full_Test_Set_Bearing2_7,0.2722,0.1039,0.7323
pronostia,s42,Full_Test_Set_Bearing3_3,0.22,0.1588,0.5289
pronostia,s42,Learning_set_Bearing1_1,0.2649,1.2371,0.624
pronostia,s42,Learning_set_Bearing1_2,0.2865,0.4154,0.735
pronostia,s42,Learning_set_Bearing2_1,0.297,0.4504,0.7645
pronostia,s42,Learning_set_Bearing2_2,0.3403,0.4515,0.891
pronostia,s42,Learning_set_Bearing3_1,0.2659,0.2278,0.6713
pronostia,s42,Learning_set_Bearing3_2,0.2738,0.7465,0.6346
pronostia,s43,Full_Test_Set_Bearing1_3,0.1497,0.5924,0.3506
pronostia,s43,Full_Test_Set_Bearing1_4,0.205,0.4875,0.4779
pronostia,s43,Full_Test_Set_Bearing1_5,0.2862,1.1744,0.6348
pronostia,s43,Full_Test_Set_Bearing1_6,0.2826,1.1527,0.6333
pronostia,s43,Full_Test_Set_Bearing1_7,0.2789,1.0498,0.6403
pronostia,s43,Full_Test_Set_Bearing2_3,0.2953,0.9617,0.7274
pronostia,s43,Full_Test_Set_Bearing2_4,0.286,0.3575,0.6931
pronostia,s43,Full_Test_Set_Bearing2_5,0.3011,1.1591,0.7313
pronostia,s43,Full_Test_Set_Bearing2_6,0.2742,0.3199,0.7294
pronostia,s43,Full_Test_Set_Bearing2_7,0.2737,0.1044,0.7361
pronostia,s43,Full_Test_Set_Bearing3_3,0.2763,0.1994,0.6644
pronostia,s43,Learning_set_Bearing1_1,0.1975,0.9223,0.4652
pronostia,s43,Learning_set_Bearing1_2,0.2797,0.4055,0.7175
pronostia,s43,Learning_set_Bearing2_1,0.2808,0.426,0.7229
pronostia,s43,Learning_set_Bearing2_2,0.3618,0.48,0.9471
pronostia,s43,Learning_set_Bearing3_1,0.2793,0.2393,0.7051
pronostia,s43,Learning_set_Bearing3_2,0.2735,0.7457,0.6339
pronostia,s44,Full_Test_Set_Bearing1_3,0.1928,0.7628,0.4514
pronostia,s44,Full_Test_Set_Bearing1_4,0.1958,0.4658,0.4566
pronostia,s44,Full_Test_Set_Bearing1_5,0.2883,1.1832,0.6396
pronostia,s44,Full_Test_Set_Bearing1_6,0.2839,1.1576,0.636
pronostia,s44,Full_Test_Set_Bearing1_7,0.2814,1.0589,0.6459
pronostia,s44,Full_Test_Set_Bearing2_3,0.2949,0.9605,0.7264
pronostia,s44,Full_Test_Set_Bearing2_4,0.2881,0.3602,0.6983
pronostia,s44,Full_Test_Set_Bearing2_5,0.3011,1.1591,0.7313
pronostia,s44,Full_Test_Set_Bearing2_6,0.2773,0.3235,0.7376
pronostia,s44,Full_Test_Set_Bearing2_7,0.2745,0.1048,0.7384
pronostia,s44,Full_Test_Set_Bearing3_3,0.2463,0.1777,0.5921
pronostia,s44,Learning_set_Bearing1_1,0.1893,0.8838,0.4458
pronostia,s44,Learning_set_Bearing1_2,0.2825,0.4097,0.7249
pronostia,s44,Learning_set_Bearing2_1,0.3001,0.4551,0.7724
pronostia,s44,Learning_set_Bearing2_2,0.3002,0.3982,0.7858
pronostia,s44,Learning_set_Bearing3_1,0.2744,0.2351,0.6927
pronostia,s44,Learning_set_Bearing3_2,0.2858,0.7794,0.6626
xjtu_sy,s42,35Hz12kN_Bearing1_1,0.1189,0.1451,0.8161
xjtu_sy,s42,35Hz12kN_Bearing1_2,0.3286,0.5258,2.2456
xjtu_sy,s42,35Hz12kN_Bearing1_3,0.2276,0.3573,1.5621
xjtu_sy,s42,35Hz12kN_Bearing1_4,0.2811,0.3401,1.9521
xjtu_sy,s42,35Hz12kN_Bearing1_5,0.1586,0.0809,1.0566
xjtu_sy,s42,37.5Hz11kN_Bearing2_1,0.2583,1.2654,1.6987
xjtu_sy,s42,37.5Hz11kN_Bearing2_2,0.2496,0.3994,1.634
xjtu_sy,s42,37.5Hz11kN_Bearing2_3,0.1277,0.6794,0.8475
xjtu_sy,s42,37.5Hz11kN_Bearing2_4,0.1445,0.0592,0.9805
xjtu_sy,s42,37.5Hz11kN_Bearing2_5,0.3331,1.126,1.6211
xjtu_sy,s42,40Hz10kN_Bearing3_1,0.252,6.3931,0.8081
xjtu_sy,s42,40Hz10kN_Bearing3_2,0.2561,6.3885,1.248
