dataset,bearing,detector,onset_frac,onset,first_alarm,n,tau_selected,k_rms_selected,k_kur_selected,fired,precision,recall,lead
PRONOSTIA,Full_Test_Set_Bearing1_3,"VTOI (tau=0.30, train-selected)",0.6,1425,871,2375,0.3,0.75,1.25,1,0.6316,1.0,554.0
PRONOSTIA,Full_Test_Set_Bearing1_3,"VTOI (tau=0.6, a priori)",0.6,1425,1641,2375,0.3,0.75,1.25,1,1.0,0.7726,-216.0
PRONOSTIA,Full_Test_Set_Bearing1_3,RMS 3-sigma,0.6,1425,1427,2375,0.3,0.75,1.25,1,1.0,0.9979,-2.0
PRONOSTIA,Full_Test_Set_Bearing1_3,Kurtosis 3-sigma,0.6,1425,35,2375,0.3,0.75,1.25,1,0.406,1.0,1390.0
PRONOSTIA,Full_Test_Set_Bearing1_3,RMS k-sigma (train-selected),0.6,1425,77,2375,0.3,0.75,1.25,1,0.4134,1.0,1348.0
PRONOSTIA,Full_Test_Set_Bearing1_3,Kurtosis k-sigma (train-selected),0.6,1425,35,2375,0.3,0.75,1.25,1,0.406,1.0,1390.0
PRONOSTIA,Full_Test_Set_Bearing1_3,VTOI (tau=0.6),data-driven(RMS 3sigma),1427,1641,2375,,,,1,1.0,0.7743,-214.0
PRONOSTIA,Full_Test_Set_Bearing1_3,Kurtosis 3-sigma,data-driven(RMS 3sigma),1427,35,2375,,,,1,0.4051,1.0,1392.0
PRONOSTIA,Full_Test_Set_Bearing1_4,"VTOI (tau=0.30, train-selected)",0.6,856,1082,1428,0.3,0.75,1.25,1,1.0,0.6049,-226.0
PRONOSTIA,Full_Test_Set_Bearing1_4,"VTOI (tau=0.6, a priori)",0.6,856,1088,1428,0.3,0.75,1.25,1,1.0,0.5944,-232.0
PRONOSTIA,Full_Test_Set_Bearing1_4,RMS 3-sigma,0.6,856,1086,1428,0.3,0.75,1.25,1,1.0,0.5979,-230.0
PRONOSTIA,Full_Test_Set_Bearing1_4,Kurtosis 3-sigma,0.6,856,1079,1428,0.3,0.75,1.25,1,1.0,0.6101,-223.0
PRONOSTIA,Full_Test_Set_Bearing1_4,RMS k-sigma (train-selected),0.6,856,51,1428,0.3,0.75,1.25,1,0.4154,1.0,805.0
PRONOSTIA,Full_Test_Set_Bearing1_4,Kurtosis k-sigma (train-selected),0.6,856,1079,1428,0.3,0.75,1.25,1,1.0,0.6101,-223.0
PRONOSTIA,Full_Test_Set_Bearing1_4,VTOI (tau=0.6),data-driven(RMS 3sigma),1086,1088,1428,,,,1,1.0,0.9942,-2.0
PRONOSTIA,Full_Test_Set_Bearing1_4,Kurtosis 3-sigma,data-driven(RMS 3sigma),1086,1079,1428,,,,1,0.9799,1.0,7.0
PRONOSTIA,Full_Test_Set_Bearing1_5,"VTOI (tau=0.30, train-selected)",0.6,1477,2411,2463,0.3,0.75,1.25,1,1.0,0.0527,-934.0
PRONOSTIA,Full_Test_Set_Bearing1_5,"VTOI (tau=0.6, a priori)",0.6,1477,-1,2463,0.3,0.75,1.25,0,0.0,0.0,
PRONOSTIA,Full_Test_Set_Bearing1_5,RMS 3-sigma,0.6,1477,2411,2463,0.3,0.75,1.25,1,1.0,0.0527,-934.0
PRONOSTIA,Full_Test_Set_Bearing1_5,Kurtosis 3-sigma,0.6,1477,2411,2463,0.3,0.75,1.25,1,1.0,0.0527,-934.0
PRONOSTIA,Full_Test_Set_Bearing1_5,RMS k-sigma (train-selected),0.6,1477,78,2463,0.3,0.75,1.25,1,0.4134,1.0,1399.0
PRONOSTIA,Full_Test_Set_Bearing1_5,Kurtosis k-sigma (train-selected),0.6,1477,2411,2463,0.3,0.75,1.25,1,1.0,0.0527,-934.0
PRONOSTIA,Full_Test_Set_Bearing1_5,VTOI (tau=0.6),data-driven(RMS 3sigma),2411,-1,2463,,,,0,0.0,0.0,
PRONOSTIA,Full_Test_Set_Bearing1_5,Kurtosis 3-sigma,data-driven(RMS 3sigma),2411,2411,2463,,,,1,1.0,1.0,0.0
PRONOSTIA,Full_Test_Set_Bearing1_6,"VTOI (tau=0.30, train-selected)",0.6,1468,1630,2448,0.3,0.75,1.25,1,1.0,0.8347,-162.0
PRONOSTIA,Full_Test_Set_Bearing1_6,"VTOI (tau=0.6, a priori)",0.6,1468,1877,2448,0.3,0.75,1.25,1,1.0,0.5827,-409.0
PRONOSTIA,Full_Test_Set_Bearing1_6,RMS 3-sigma,0.6,1468,1632,2448,0.3,0.75,1.25,1,1.0,0.8327,-164.0
PRONOSTIA,Full_Test_Set_Bearing1_6,Kurtosis 3-sigma,0.6,1468,1630,2448,0.3,0.75,1.25,1,1.0,0.8347,-162.0
PRONOSTIA,Full_Test_Set_Bearing1_6,RMS k-sigma (train-selected),0.6,1468,28,2448,0.3,0.75,1.25,1,0.405,1.0,1440.0
PRONOSTIA,Full_Test_Set_Bearing1_6,Kurtosis k-sigma (train-selected),0.6,1468,487,2448,0.3,0.75,1.25,1,0.4997,1.0,981.0
PRONOSTIA,Full_Test_Set_Bearing1_6,VTOI (tau=0.6),data-driven(RMS 3sigma),1632,1877,2448,,,,1,1.0,0.6998,-245.0
PRONOSTIA,Full_Test_Set_Bearing1_6,Kurtosis 3-sigma,data-driven(RMS 3sigma),1632,1630,2448,,,,1,0.9976,1.0,2.0
PRONOSTIA,Full_Test_Set_Bearing1_7,"VTOI (tau=0.30, train-selected)",0.6,1355,2015,2259,0.3,0.75,1.25,1,1.0,0.2699,-660.0
PRONOSTIA,Full_Test_Set_Bearing1_7,"VTOI (tau=0.6, a priori)",0.6,1355,2256,2259,0.3,0.75,1.25,1,1.0,0.0033,-901.0
PRONOSTIA,Full_Test_Set_Bearing1_7,RMS 3-sigma,0.6,1355,13,2259,0.3,0.75,1.25,1,0.4025,1.0,1342.0
PRONOSTIA,Full_Test_Set_Bearing1_7,Kurtosis 3-sigma,0.6,1355,965,2259,0.3,0.75,1.25,1,0.6986,1.0,390.0
PRONOSTIA,Full_Test_Set_Bearing1_7,RMS k-sigma (train-selected),0.6,1355,7,2259,0.3,0.75,1.25,1,0.4014,1.0,1348.0
PRONOSTIA,Full_Test_Set_Bearing1_7,Kurtosis k-sigma (train-selected),0.6,1355,483,2259,0.3,0.75,1.25,1,0.509,1.0,872.0
PRONOSTIA,Full_Test_Set_Bearing1_7,VTOI (tau=0.6),data-driven(RMS 3sigma),13,2256,2259,,,,1,1.0,0.0013,-2243.0
PRONOSTIA,Full_Test_Set_Bearing1_7,Kurtosis 3-sigma,data-driven(RMS 3sigma),13,965,2259,,,,1,1.0,0.5761,-952.0
