dataset,indicator,monotonicity_median,trendability_min,trendability_median,prognosability,rho_vs_deg_median,n_bearings
PRONOSTIA,RMS,0.0143,0.005,0.2767,0.4277,-0.1398,17
PRONOSTIA,Kurtosis,0.0138,0.0085,0.1696,0.1762,0.3606,17
PRONOSTIA,PCA-HI,0.0132,0.0349,0.2756,0.1406,0.4523,17
PRONOSTIA,Mahalanobis (E),0.0151,0.2576,0.597,0.7533,0.613,17
PRONOSTIA,Autoencoder-HI (deep),0.0131,0.0557,0.1517,0.1158,0.4517,17
PRONOSTIA,Self-supervised HI,0.0073,0.0486,0.161,0.0796,0.2151,17
PRONOSTIA,Variational HI (VAE),0.0107,0.0724,0.1704,0.128,0.4306,17
PRONOSTIA,Coble optimal parameter,0.0067,0.0139,0.3008,0.2613,0.1073,17
PRONOSTIA,VTOI (label-free),0.0917,0.2368,0.5573,0.7362,0.6194,17
PRONOSTIA,VTOI,0.0721,0.2448,0.5766,0.7443,0.5937,17
XJTU-SY,RMS,0.2189,0.3018,0.7556,0.6804,0.912,15
XJTU-SY,Kurtosis,0.027,0.0248,0.3495,0.2515,0.0251,15
XJTU-SY,PCA-HI,0.1074,0.2149,0.722,0.4301,0.8603,15
XJTU-SY,Mahalanobis (E),0.1176,0.4321,0.8826,0.8482,0.8938,15
XJTU-SY,Autoencoder-HI (deep),0.0492,0.065,0.3215,0.0601,0.8298,15
XJTU-SY,Self-supervised HI,0.0446,0.0617,0.3425,0.0561,0.7759,15
XJTU-SY,Variational HI (VAE),0.0588,0.0789,0.4145,0.0981,0.5304,15
XJTU-SY,Coble optimal parameter,0.1125,0.1245,0.7887,0.4414,0.4324,15
XJTU-SY,VTOI (label-free),0.1176,0.4321,0.8826,0.8482,0.8938,15
XJTU-SY,VTOI,0.1176,0.4321,0.8826,0.8482,0.8938,15
