dataset,bearing,mono_Autoencoder-HI (deep),mono_Self-supervised HI,mono_Variational HI (VAE),mono_VTOI
PRONOSTIA,Full_Test_Set_Bearing1_3,0.017691659646166806,0.0008424599831508003,0.013479359730412805,0.07792754844144903
PRONOSTIA,Full_Test_Set_Bearing1_4,0.027330063069376315,0.06377014716187807,0.0161177295024527,0.04414856341976174
PRONOSTIA,Full_Test_Set_Bearing1_5,0.005686433793663688,0.004467912266450041,0.008123476848090982,0.08529650690495533
PRONOSTIA,Full_Test_Set_Bearing1_6,0.0028606456885982836,0.005721291377196567,0.0028606456885982836,0.06497752349816101
PRONOSTIA,Full_Test_Set_Bearing1_7,0.001771479185119575,0.012400354295837024,0.00354295837023915,0.08503100088573959
PRONOSTIA,Full_Test_Set_Bearing2_3,0.008188331627430911,0.00511770726714432,0.0040941658137154556,0.05834186284544524
PRONOSTIA,Full_Test_Set_Bearing2_4,0.037333333333333336,0.036,0.0,0.06666666666666667
PRONOSTIA,Full_Test_Set_Bearing2_5,0.0008658008658008658,0.015584415584415584,0.005194805194805195,0.07186147186147186
PRONOSTIA,Full_Test_Set_Bearing2_6,0.017142857142857144,0.002857142857142857,0.045714285714285714,0.025714285714285714
PRONOSTIA,Full_Test_Set_Bearing2_7,0.013100436681222707,0.026200873362445413,0.09170305676855896,0.07423580786026202
PRONOSTIA,Full_Test_Set_Bearing3_3,0.03464203233256351,0.004618937644341801,0.03926096997690531,0.07159353348729793
PRONOSTIA,Learning_set_Bearing1_1,0.007851534618129907,0.0046395431834403995,0.010706638115631691,0.11634546752319772
PRONOSTIA,Learning_set_Bearing1_2,0.029885057471264367,0.04252873563218391,0.02528735632183908,0.18850574712643678
PRONOSTIA,Learning_set_Bearing2_1,0.01978021978021978,0.031868131868131866,0.01098901098901099,0.16263736263736264
PRONOSTIA,Learning_set_Bearing2_2,0.01507537688442211,0.005025125628140704,0.005025125628140704,0.11809045226130653
PRONOSTIA,Learning_set_Bearing3_1,0.007782101167315175,0.05058365758754864,0.019455252918287938,0.0311284046692607
PRONOSTIA,Learning_set_Bearing3_2,0.008557457212713936,0.007334963325183374,0.007334963325183374,0.07212713936430318
XJTU-SY,35Hz12kN_Bearing1_1,0.04918032786885246,0.16393442622950818,0.22950819672131148,0.18032786885245902
XJTU-SY,35Hz12kN_Bearing1_2,0.15,0.15,0.175,0.2125
XJTU-SY,35Hz12kN_Bearing1_3,0.2356687898089172,0.044585987261146494,0.09554140127388536,0.3630573248407643
XJTU-SY,35Hz12kN_Bearing1_4,0.008264462809917356,0.024793388429752067,0.05785123966942149,0.008264462809917356
XJTU-SY,35Hz12kN_Bearing1_5,0.2549019607843137,0.058823529411764705,0.058823529411764705,0.11764705882352941
XJTU-SY,37.5Hz11kN_Bearing2_1,0.00816326530612245,0.02040816326530612,0.036734693877551024,0.08571428571428572
XJTU-SY,37.5Hz11kN_Bearing2_2,0.025,0.05,0.1125,0.13125
XJTU-SY,37.5Hz11kN_Bearing2_3,0.06766917293233082,0.011278195488721804,0.011278195488721804,0.015037593984962405
XJTU-SY,37.5Hz11kN_Bearing2_4,0.12195121951219512,0.2682926829268293,0.2682926829268293,0.2926829268292683
XJTU-SY,37.5Hz11kN_Bearing2_5,0.11242603550295859,0.09467455621301775,0.24260355029585798,0.1834319526627219
XJTU-SY,40Hz10kN_Bearing3_1,0.02089081592432006,0.01694915254237288,0.02640914465904612,0.04690579424517146
XJTU-SY,40Hz10kN_Bearing3_2,0.009218436873747494,0.014028056112224449,0.016432865731462926,0.030861723446893786
XJTU-SY,40Hz10kN_Bearing3_3,0.010810810810810811,0.03783783783783784,0.04864864864864865,0.03783783783783784
XJTU-SY,40Hz10kN_Bearing3_4,0.003963011889035667,0.010568031704095112,0.015852047556142668,0.011228533685601057
XJTU-SY,40Hz10kN_Bearing3_5,0.2920353982300885,0.30973451327433627,0.34513274336283184,0.22123893805309736
