dataset,bearing,indicator,life_frac,value
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0,0.19145
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00042,0.1764
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00084,0.18097
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00126,0.19466
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00168,0.18944
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00211,0.17684
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00253,0.17758
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00295,0.16277
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00337,0.16188
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00379,0.15331
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00421,0.18071
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00463,0.1517
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00505,0.17093
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00548,0.14094
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0059,0.19698
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00632,0.15631
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00674,0.24364
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00716,0.17198
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00758,0.1792
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.008,0.13376
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00842,0.12399
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00885,0.13943
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00927,0.16727
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.00969,0.18428
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01011,0.17829
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01053,0.1289
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01095,0.12891
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01137,0.13116
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01179,0.127
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01222,0.08116
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01264,0.18852
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01306,0.21188
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01348,0.14447
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0139,0.08248
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01432,0.12456
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01474,0.24258
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01516,0.18906
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01559,0.31435
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01601,0.15987
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01643,0.30401
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01685,0.2163
