dataset,config,seed,n_folds,rul_mae_mean,rul_mae_std,rul_mae_median,rul_mae_q25,rul_mae_q75,rul_mae_worst,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,rul_mae_hours_mean,rul_mae_hours_std,rul_mae_hours_median,rul_mae_hours_q25,rul_mae_hours_q75,rul_mae_hours_worst,rul_rmse_hours_mean,rul_rmse_hours_std,rul_phm_score_mean,rul_phm_score_std,rul_asym_score_mean,rul_asym_score_std,first_warning_mean,first_warning_std,lead_time_mean,lead_time_std,false_alarm_rate_mean,false_alarm_rate_std,mtoi_rmse_mean,mtoi_rmse_std,mtoi_spearman_mean,mtoi_spearman_std,mtoi_spearman_signed_mean,mtoi_spearman_signed_std,mtoi_spearman_vs_deg_mean,mtoi_spearman_vs_deg_std,mtoi_monotonicity_mean,mtoi_monotonicity_std,stage_acc_mean,stage_acc_std,stage_macro_f1_mean,stage_macro_f1_std,stage_bal_acc_mean,stage_bal_acc_std
pronostia,abl_E_only,42,17,0.2798,0.0241,0.2843,0.2702,0.2966,0.3107,0.317,0.0269,0.0822,0.1449,0.6805,0.4053,0.5073,0.3605,1.0577,1.2256,0.7716,0.4619,124.3423,118.4427,1.0079,0.6219,1098.9412,940.3423,310.5294,654.4576,0.0064,0.0208,0.1417,0.0762,0.2905,0.2436,-0.1963,0.3288,0.1963,0.3288,0.0128,0.0119,0.1811,0.1831,0.125,0.0968,0.2463,0.0963
pronostia,abl_cond_noaux,42,17,0.2681,0.0402,0.2826,0.272,0.2936,0.3094,0.3039,0.0462,0.1439,0.2335,0.6438,0.3789,0.5237,0.3669,0.9586,1.1912,0.7313,0.4326,113.8344,105.9298,0.9305,0.5803,1015.2941,858.4591,270.7059,557.0919,0.0117,0.0456,0.3341,0.0782,0.2592,0.2823,0.0606,0.3836,-0.0606,0.3836,0.017,0.009,0.2506,0.2377,0.1092,0.0818,0.2284,0.0685
pronostia,abl_no_idxhead,42,17,0.2724,0.0355,0.2845,0.2718,0.2967,0.3107,0.3121,0.041,0.1019,0.2106,0.6494,0.3753,0.4995,0.3708,0.9911,1.1758,0.7432,0.4301,116.097,108.0145,0.958,0.5858,1042.8824,907.5918,322.4118,578.7248,0.0132,0.0511,0.1308,0.0625,0.2854,0.2921,-0.168,0.3767,0.168,0.3767,0.0123,0.0172,0.2821,0.1998,0.1361,0.0775,0.245,0.065
pronostia,abl_no_mono,42,17,0.2724,0.0361,0.2778,0.265,0.2861,0.3536,0.3113,0.0419,0.1058,0.2292,0.6532,0.3795,0.5284,0.3576,1.0458,1.1714,0.7477,0.4366,118.2767,111.1985,0.9771,0.6002,1132.2941,857.8149,286.5882,552.6466,0.018,0.0725,0.1319,0.0694,0.3113,0.249,-0.2229,0.3349,0.2229,0.3349,0.0144,0.0131,0.1937,0.1641,0.0999,0.0546,0.2287,0.0455
pronostia,abl_no_smooth,42,17,0.266,0.0368,0.277,0.2598,0.2903,0.3039,0.3055,0.0438,0.1366,0.2209,0.6364,0.3733,0.4557,0.3629,0.9689,1.1762,0.7332,0.4356,114.4314,106.9061,0.9506,0.5853,957.0,843.2577,408.2941,662.2182,0.0025,0.0067,0.1426,0.0774,0.269,0.2014,-0.1739,0.2921,0.1739,0.2921,0.0122,0.0093,0.2902,0.2269,0.1532,0.105,0.2743,0.0969
pronostia,cnn_bilstm_attn_vib,42,17,0.3452,0.0525,0.356,0.319,0.3685,0.4294,0.3933,0.0609,-0.4348,0.3969,0.8351,0.5066,0.5368,0.45,1.2816,1.5529,0.9389,0.5678,141.6812,136.2753,1.0121,0.611,145.9412,343.8307,401.7647,758.5442,0.1451,0.3318,0.3496,0.0564,0.2552,0.2577,0.0844,0.3579,-0.0844,0.3579,0.0101,0.0086,0.1994,0.1913,0.0902,0.0754,0.2377,0.0922
pronostia,ctl_EC,42,17,0.2724,0.044,0.2791,0.2649,0.2958,0.3658,0.312,0.0497,0.0956,0.2743,0.6472,0.3731,0.4993,0.3697,0.9839,1.1851,0.741,0.4278,113.8281,106.0124,0.9316,0.5775,901.9412,826.5382,330.4706,593.657,0.0219,0.0841,0.1277,0.0564,0.2763,0.2669,-0.2182,0.319,0.2182,0.319,0.0141,0.0154,0.2788,0.2317,0.1532,0.1033,0.2675,0.0945
pronostia,ctl_elapsed,42,17,0.2421,0.049,0.2467,0.2254,0.2712,0.3011,0.2781,0.0566,0.2708,0.2615,0.5577,0.3086,0.4549,0.356,0.8732,1.0553,0.6381,0.3505,95.284,87.5727,0.8001,0.4593,963.8235,920.0632,240.0,434.8597,0.0114,0.0456,0.1304,0.0709,0.3083,0.243,-0.2183,0.3307,0.2183,0.3307,0.01,0.0088,0.2349,0.228,0.1124,0.0856,0.2252,0.0996
pronostia,ctl_hc10,42,17,0.2684,0.0325,0.2739,0.2645,0.2883,0.3168,0.3056,0.0387,0.1398,0.201,0.6475,0.3823,0.5197,0.3584,1.0316,1.1664,0.7408,0.4438,117.0411,111.3865,0.9573,0.6119,991.0,967.57,333.0588,640.9056,0.0082,0.0266,0.1263,0.074,0.3113,0.2667,-0.2492,0.3289,0.2492,0.3289,0.0172,0.0178,0.2075,0.1882,0.0948,0.0686,0.213,0.081
pronostia,ctl_lifefrac,42,17,0.124,0.0742,0.0984,0.0843,0.1132,0.2998,0.1445,0.0799,0.7559,0.3024,0.2934,0.2311,0.2945,0.1426,0.3521,1.0066,0.3407,0.2546,50.2229,62.9965,0.4208,0.345,1121.2353,829.1721,244.0588,201.9677,0.0049,0.0203,0.131,0.0697,0.2981,0.2857,-0.2347,0.3428,0.2347,0.3428,0.0148,0.0087,0.2466,0.2077,0.1019,0.066,0.2375,0.051
pronostia,ctl_nodeg,42,17,0.2772,0.0431,0.2785,0.27,0.2961,0.3841,0.3158,0.0514,0.0726,0.3078,0.6649,0.3885,0.5096,0.371,1.0942,1.2203,0.7563,0.443,119.0934,111.9003,0.9703,0.5943,1011.1176,941.7331,354.1765,662.4808,0.0291,0.1072,0.1283,0.0692,0.3266,0.2455,-0.1748,0.3757,0.1748,0.3757,0.0186,0.014,0.2636,0.2329,0.1305,0.0952,0.2459,0.0879
pronostia,ctl_random,42,17,0.2774,0.038,0.2853,0.2696,0.2956,0.354,0.3155,0.0438,0.0806,0.2448,0.6597,0.3794,0.5009,0.3695,1.0052,1.1907,0.754,0.4377,118.3404,109.9784,0.9745,0.5886,1018.1765,965.9123,333.5882,653.9952,0.0213,0.0778,0.136,0.0764,0.2766,0.2813,-0.1992,0.3439,0.1992,0.3439,0.0172,0.0156,0.217,0.2068,0.121,0.1148,0.2649,0.0984
pronostia,ctl_scalar,42,17,0.2777,0.0359,0.2855,0.2684,0.2991,0.3597,0.3153,0.043,0.0821,0.2457,0.6661,0.3834,0.4894,0.376,1.0683,1.1778,0.7553,0.4355,118.9361,110.5007,0.9686,0.5884,952.7059,862.7392,412.5882,699.3069,0.0225,0.087,0.1346,0.0726,0.3053,0.2499,-0.2308,0.3238,0.2308,0.3238,0.0182,0.017,0.2968,0.2361,0.1316,0.0735,0.2374,0.065
pronostia,ctl_shuffled,42,17,0.2722,0.0387,0.2861,0.2732,0.2957,0.3079,0.3074,0.0427,0.1272,0.2155,0.648,0.3786,0.4696,0.3781,0.9631,1.1855,0.7352,0.4348,113.7978,106.306,0.9269,0.5725,789.5882,815.3279,406.1765,701.8507,0.0103,0.0345,0.129,0.0649,0.3052,0.265,-0.1876,0.363,0.1876,0.363,0.0185,0.0154,0.2282,0.1909,0.1107,0.065,0.2267,0.0836
pronostia,tcn_transformer_vib,42,17,0.3004,0.0173,0.2963,0.2933,0.3014,0.3643,0.3374,0.0164,-0.0355,0.1087,0.7273,0.4208,0.7194,0.3913,1.1314,1.3837,0.8179,0.4749,132.3438,124.1529,1.0743,0.6307,-1.0,0.0,0.0,0.0,0.0,0.0,0.3286,0.1114,0.3015,0.2742,-0.1089,0.3989,0.1089,0.3989,0.0167,0.016,0.2714,0.2277,0.104,0.064,0.2384,0.0237
pronostia,tcn_vib,42,17,0.2865,0.0307,0.2876,0.2806,0.3016,0.3313,0.3212,0.0333,0.0545,0.1773,0.6866,0.4073,0.4875,0.3865,1.0823,1.3397,0.7748,0.4662,124.7109,121.3239,0.9996,0.6321,408.0588,694.3077,41.2941,111.1636,0.0,0.0,0.41,0.1661,0.4154,0.2017,0.1765,0.4369,-0.1765,0.4369,0.0184,0.0203,0.2229,0.1876,0.1042,0.0611,0.2535,0.0339
pronostia,transformer_vib,42,17,0.2771,0.0268,0.2798,0.274,0.2951,0.3022,0.3122,0.0311,0.1076,0.1619,0.6728,0.4008,0.4694,0.3718,1.1214,1.1939,0.7589,0.4546,122.0223,115.6537,0.9881,0.6077,647.1765,806.5815,280.6471,646.0502,0.0027,0.0096,0.3823,0.1057,0.2226,0.2316,0.1055,0.3073,-0.1055,0.3073,0.0158,0.0117,0.1881,0.1768,0.0943,0.089,0.2547,0.0692
