dataset,config,holdout,seed,n_train_bearings,n_test_windows,hi_cols,vtoi_a,vtoi_b,vtoi_fitness,vtoi_sat_frac_test,rul_mae,rul_rmse,rul_r2,rul_mae_hours,rul_rmse_hours,rul_phm_score,rul_asym_score,first_warning,lead_time,false_alarm_rate,mtoi_rmse,mtoi_spearman,mtoi_spearman_signed,mtoi_spearman_vs_deg,mtoi_monotonicity,stage_acc,stage_macro_f1,stage_bal_acc
pronostia,vtoi_static,Full_Test_Set_Bearing1_3,44,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.1927945762872696,0.2152546495199203,0.579066778195739,0.7628239393234253,0.851690948009491,163.6772208205664,1.0785716527522002,1743,631,0.0,0.3158411681652069,0.8182077043493186,-0.8182077043493186,0.8182077043493186,0.0117944397641112,0.6665263157894736,0.3249936300136186,0.3609550561797753
pronostia,vtoi_traj,Full_Test_Set_Bearing1_3,44,15,2375,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,0.86,0.14,0.691424,0.2164210526315789,0.1682109832763672,0.1893514841794967,0.67427916354145,0.6655547618865967,0.749200701713562,136.21584311351387,0.8460507332159108,1719,655,0.0,0.2770025432109833,0.8012326622549474,-0.8012326622549474,0.8012326622549474,0.0101095197978096,0.0816842105263157,0.1295335288961416,0.1042085675192608
pronostia,transformer_vib,Full_Test_Set_Bearing1_3,44,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.2083060443401336,0.2399668544530868,0.4768687593576657,0.8241976499557495,0.9494689106941224,176.39387380129497,1.133336328181193,1673,701,0.0,0.3387952744960785,0.8015228036928835,-0.8015228036928835,0.8015228036928835,0.02106149957877,0.1566315789473684,0.0901190127096735,0.1998073629215139
pronostia,tcn_vib,Full_Test_Set_Bearing1_3,44,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.2936370372772217,0.3372088074684143,-0.0330134384525895,1.1618237495422363,1.3342229127883911,234.47810934855164,1.312992767850907,1741,633,0.0,0.4764931201934814,0.3117643392018784,-0.3117643392018784,0.3117643392018784,0.0008424599831508,0.0741052631578947,0.0435944550889426,0.26
pronostia,tcn_transformer_vib,Full_Test_Set_Bearing1_3,44,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.2968055009841919,0.3310717344284057,0.0042453996087166,1.1743605136871338,1.3099405765533447,262.23422355692423,1.7206107374502249,-1,0,0.0,0.365411639213562,0.7807310327388944,-0.7807310327388944,0.7807310327388944,0.0130581297388374,0.0501052631578947,0.0238572574178027,0.25
pronostia,cnn_bilstm_attn_vib,Full_Test_Set_Bearing1_3,44,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.3878237903118133,0.449485033750534,-0.8354331464969011,1.534489393234253,1.7784624099731443,320.4770671366198,1.7961714811209393,426,1948,0.3291228070175439,0.35682013630867,0.5375703377420803,0.5375703377420803,-0.5375703377420803,0.0109519797809604,0.3574736842105263,0.173965844402277,0.1942105263157894
pronostia,abl_no_idxhead,Full_Test_Set_Bearing1_3,44,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.185152530670166,0.2115385681390762,0.5934750495301401,0.7325868606567383,0.8369876146316528,149.68328467353044,0.9123468279064094,1634,740,0.0,0.2941982746124267,0.8011994667330858,-0.8011994667330858,0.8011994667330858,0.0261162594776748,0.1254736842105263,0.1257947907348072,0.164231224127735
pronostia,abl_cond_noaux,Full_Test_Set_Bearing1_3,44,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.2293319553136825,0.2549032568931579,0.4097189293725981,0.9073901176452636,1.008567214012146,187.8136007653035,1.148228822232273,1710,664,0.0,0.350443035364151,0.4856350085400209,-0.4856350085400209,0.4856350085400209,0.0202190395956192,0.0909473684210526,0.0926939293081872,0.2956312459933707
pronostia,abl_E_only,Full_Test_Set_Bearing1_3,44,15,2375,E_norm,0.86,0.14,0.691424,0.2164210526315789,0.1949007660150528,0.2195504903793335,0.5620979698847062,0.7711573839187622,0.8686881065368652,164.4347376956962,1.0696208571174035,1825,549,0.0,0.3185087144374847,0.8281443904382755,-0.8281443904382755,0.8281443904382755,0.0244313395113732,0.0357894736842105,0.0335838635479322,0.0624803250691169
pronostia,abl_no_smooth,Full_Test_Set_Bearing1_3,44,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.1704496592283249,0.1953454166650772,0.6533313665891416,0.6744125485420227,0.7729167342185974,140.03218223252287,0.8826201906214027,1693,681,0.0,0.3046526908874511,0.7817047376242395,-0.7817047376242395,0.7817047376242395,0.0016849199663016,0.6989473684210527,0.3361822824602813,0.3750896905184309
pronostia,abl_no_mono,Full_Test_Set_Bearing1_3,44,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.2022923231124878,0.2316320687532425,0.5125775924576456,0.8004032969474792,0.916490912437439,165.6645383575779,1.0205181984409295,1690,684,0.0,0.3282738924026489,0.8272274278430138,-0.8272274278430138,0.8272274278430138,0.0303285593934288,0.0661052631578947,0.0996282610552204,0.1355591266666335
pronostia,vtoi_static,Full_Test_Set_Bearing1_4,44,15,1428,E_norm|C_norm|VTOI,0.87,0.13,0.700434,0.1953781512605042,0.1958398967981338,0.219979926943779,0.5605841095555215,0.4657725393772125,0.5231856107711792,55.67678128154505,0.5630082488464353,1090,337,0.0,0.1983800679445266,0.4127226545146828,-0.4127226545146828,0.4127226545146828,0.020322354590049,0.0455182072829131,0.0755675259715275,0.061091982292179
pronostia,vtoi_traj,Full_Test_Set_Bearing1_4,44,15,1428,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,0.87,0.13,0.700434,0.1953781512605042,0.1988579183816909,0.2254759520292282,0.5383529083273133,0.4729503989219665,0.5362569689750671,55.96327596672478,0.5540186351345179,1092,335,0.0,0.1686169803142547,0.5222168636247401,-0.5222168636247401,0.5222168636247401,0.0175192711983181,0.0,0.0,0.0
pronostia,transformer_vib,Full_Test_Set_Bearing1_4,44,15,1428,,0.87,0.13,0.700434,0.1953781512605042,0.2008886039257049,0.2257556915283203,0.5372067184793137,0.4777800738811493,0.53692227602005,57.6881781983078,0.5932133914133226,1087,340,0.0,0.335031509399414,0.5020911221257734,-0.5020911221257734,0.5020911221257734,0.0035038542396636,0.1981792717086834,0.0847813061713601,0.2482456140350877
pronostia,tcn_vib,Full_Test_Set_Bearing1_4,44,15,1428,,0.87,0.13,0.700434,0.1953781512605042,0.2047661989927292,0.2351592034101486,0.4978499167413619,0.4870022535324096,0.5592869520187378,57.97247258789606,0.5777081174511659,1088,339,0.0,0.478451132774353,0.7387188979198221,0.7387188979198221,-0.7387188979198221,0.0056061667834618,0.3088235294117647,0.2786330615026724,0.4444389854449425
pronostia,tcn_transformer_vib,Full_Test_Set_Bearing1_4,44,15,1428,,0.87,0.13,0.700434,0.1953781512605042,0.2130441963672638,0.2398289293050766,0.4777087718661736,0.5066900849342346,0.5703931450843811,61.46650951649794,0.6349526445892658,1088,339,0.0,0.3469653129577636,0.6492897351356243,0.6492897351356243,-0.6492897351356243,0.0147161878065872,0.2128851540616246,0.1720162772660143,0.4535087719298245
pronostia,cnn_bilstm_attn_vib,Full_Test_Set_Bearing1_4,44,15,1428,,0.87,0.13,0.700434,0.1953781512605042,0.1870938837528228,0.2128939479589462,0.5884370390107969,0.4449716806411743,0.5063327550888062,51.61972487980263,0.4932709845912535,1088,339,0.0,0.4479197561740875,0.9039761196061564,-0.9039761196061564,0.9039761196061564,0.0028030833917309,0.1512605042016806,0.1178749287906352,0.2517543859649123
pronostia,abl_no_idxhead,Full_Test_Set_Bearing1_4,44,15,1428,,0.87,0.13,0.700434,0.1953781512605042,0.2009555846452713,0.2243948876857757,0.5427691436114427,0.4779393374919891,0.5336858630180359,56.55668833072099,0.5603005098484206,1089,338,0.0,0.2240121811628341,0.524563049665328,-0.524563049665328,0.524563049665328,0.0399439383321653,0.6316526610644257,0.310393224349663,0.4918705688277481
pronostia,abl_cond_noaux,Full_Test_Set_Bearing1_4,44,15,1428,E_norm|C_norm|VTOI,0.87,0.13,0.700434,0.1953781512605042,0.1984742283821106,0.2259716093540191,0.5363210543212183,0.4720378518104553,0.5374358296394348,55.99419149605577,0.5566803539049204,1088,339,0.0,0.4562632441520691,0.5476500909093739,-0.5476500909093739,0.5476500909093739,0.0161177295024527,0.165266106442577,0.0913609974930729,0.2078906378094769
pronostia,abl_E_only,Full_Test_Set_Bearing1_4,44,15,1428,E_norm,0.87,0.13,0.700434,0.1953781512605042,0.200784295797348,0.2266048491001129,0.5337187010550377,0.4775319993495941,0.5389418601989746,56.76581717753611,0.5668330723902404,1089,338,0.0,0.2298339158296585,0.5041043863597424,-0.5041043863597424,0.5041043863597424,0.0063069376313945,0.6498599439775911,0.3084239486090202,0.4939327485380117
