dataset,config,seed,n_folds,rul_mae_mean,rul_mae_std,rul_mae_median,rul_mae_q25,rul_mae_q75,rul_mae_worst,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,rul_mae_hours_mean,rul_mae_hours_std,rul_mae_hours_median,rul_mae_hours_q25,rul_mae_hours_q75,rul_mae_hours_worst,rul_rmse_hours_mean,rul_rmse_hours_std,rul_phm_score_mean,rul_phm_score_std,rul_asym_score_mean,rul_asym_score_std,first_warning_mean,first_warning_std,lead_time_mean,lead_time_std,false_alarm_rate_mean,false_alarm_rate_std,mtoi_rmse_mean,mtoi_rmse_std,mtoi_spearman_mean,mtoi_spearman_std,mtoi_spearman_signed_mean,mtoi_spearman_signed_std,mtoi_spearman_vs_deg_mean,mtoi_spearman_vs_deg_std,mtoi_monotonicity_mean,mtoi_monotonicity_std,stage_acc_mean,stage_acc_std,stage_macro_f1_mean,stage_macro_f1_std,stage_bal_acc_mean,stage_bal_acc_std
xjtu_sy,abl_E_only,43,15,0.2354,0.0836,0.2382,0.1723,0.2657,0.4526,0.2798,0.1069,0.1993,0.6407,1.5359,2.2431,0.5481,0.2796,1.0555,6.7372,1.7857,2.5625,374.7396,814.4562,2.344,3.5226,445.1333,825.4283,56.3333,62.3626,0.0906,0.238,0.1535,0.1014,0.5618,0.2925,-0.5353,0.3416,0.5353,0.3416,0.0467,0.0496,0.2525,0.2675,0.1671,0.1547,0.2805,0.1582
xjtu_sy,abl_cond_noaux,43,15,0.2567,0.0966,0.2573,0.2082,0.274,0.5402,0.3054,0.1159,0.0475,0.7914,1.5751,2.229,0.6104,0.3194,1.1937,6.7323,1.843,2.5601,379.7878,821.5254,2.4064,3.541,501.6667,870.3368,62.6667,67.1445,0.1125,0.2419,0.386,0.0659,0.4741,0.2679,0.0475,0.557,-0.0475,0.557,0.0437,0.0359,0.2841,0.2302,0.1532,0.1231,0.2536,0.1199
xjtu_sy,abl_no_idxhead,43,15,0.2357,0.087,0.2321,0.1692,0.2679,0.4866,0.282,0.109,0.1843,0.6871,1.5293,2.2508,0.5498,0.2803,1.081,6.8434,1.8027,2.5968,381.7049,830.6584,2.3567,3.5795,497.5333,857.7989,66.8,65.27,0.1022,0.2435,0.1584,0.1319,0.5748,0.3466,-0.5389,0.4036,0.5389,0.4036,0.0516,0.0504,0.1767,0.1915,0.1264,0.095,0.2646,0.1084
xjtu_sy,abl_no_mono,43,15,0.2337,0.0826,0.2442,0.1679,0.2648,0.4437,0.2758,0.1049,0.2227,0.6027,1.5196,2.2254,0.5246,0.2834,1.0869,6.4796,1.7713,2.5755,382.4407,839.5966,2.3376,3.5569,412.4,831.4278,59.1333,62.0402,0.0952,0.2403,0.1683,0.1133,0.598,0.3059,-0.5455,0.3974,0.5455,0.3974,0.0679,0.0625,0.2724,0.2338,0.1391,0.1043,0.2581,0.1049
xjtu_sy,abl_no_smooth,43,15,0.2425,0.0944,0.2441,0.1673,0.2679,0.5125,0.2884,0.1176,0.1349,0.759,1.5591,2.2914,0.5791,0.298,1.1061,6.7412,1.8423,2.6729,404.5214,887.6644,2.427,3.7157,507.9333,867.052,64.6,59.2727,0.101,0.2364,0.1704,0.1394,0.5748,0.3221,-0.5606,0.3479,0.5606,0.3479,0.0566,0.0419,0.3185,0.264,0.1837,0.1198,0.2948,0.1106
xjtu_sy,cnn_bilstm_attn_vib,43,15,0.2826,0.0431,0.2871,0.2706,0.2993,0.3362,0.3209,0.0504,0.0527,0.2552,1.7527,2.4601,0.5379,0.3388,1.5298,7.3825,2.0051,2.8633,457.1112,1035.3916,2.6064,3.8663,517.0667,876.6971,38.8,48.7885,0.0489,0.1166,0.3843,0.0598,0.6526,0.2387,-0.4905,0.5055,0.4905,0.5055,0.0732,0.0846,0.2572,0.2344,0.1172,0.097,0.2425,0.1122
xjtu_sy,ctl_EC,43,15,0.2417,0.0856,0.2419,0.1821,0.2673,0.4908,0.285,0.1077,0.1712,0.6928,1.5572,2.2689,0.5546,0.2998,1.109,6.8879,1.8094,2.5966,384.7421,840.3441,2.3661,3.5916,545.0,859.5724,60.2667,59.4516,0.1031,0.235,0.1668,0.1375,0.5938,0.3208,-0.5392,0.4114,0.5392,0.4114,0.061,0.0544,0.3109,0.2828,0.1569,0.1249,0.2374,0.1435
xjtu_sy,ctl_elapsed,43,15,0.2369,0.0764,0.224,0.1904,0.2664,0.4483,0.2836,0.0973,0.1963,0.5865,1.4597,2.0623,0.5066,0.3036,1.088,6.2976,1.7054,2.3637,334.5664,720.8301,2.2217,3.2104,381.4,769.2313,81.9333,111.3909,0.1,0.2296,0.1725,0.1253,0.6035,0.3099,-0.6035,0.3099,0.6035,0.3099,0.055,0.0461,0.3289,0.2357,0.1788,0.0891,0.2904,0.0942
xjtu_sy,ctl_hc10,43,15,0.2345,0.0916,0.2501,0.1664,0.2627,0.4889,0.2771,0.1117,0.2036,0.6702,1.5297,2.2316,0.5524,0.3278,1.1236,6.7493,1.8263,2.6913,419.1843,946.4764,2.4243,3.7834,549.7333,868.3152,55.5333,64.0746,0.1065,0.2324,0.1657,0.1289,0.6198,0.3285,-0.5917,0.3799,0.5917,0.3799,0.053,0.0553,0.2076,0.1917,0.1162,0.0799,0.2381,0.0737
xjtu_sy,ctl_lifefrac,43,15,0.1633,0.1231,0.1584,0.0706,0.2282,0.5032,0.1957,0.1467,0.4752,0.7986,1.062,1.831,0.3104,0.1686,0.7364,6.4895,1.2524,2.1294,253.5112,637.5521,1.6331,2.9344,414.3333,758.3483,87.1333,110.1848,0.069,0.2251,0.165,0.1435,0.5939,0.3398,-0.5843,0.3573,0.5843,0.3573,0.0453,0.0395,0.1474,0.2021,0.0646,0.0726,0.1322,0.1247
