dataset,config,n_seeds,n_bearings,norm_median,norm_q25,norm_q75,norm_worst,norm_mean,norm_std,hours_median,hours_q25,hours_q75,hours_worst,hours_mean,hours_std,mtoi_spearman_signed_mean,mtoi_spearman_vs_deg_mean,mtoi_monotonicity_mean,rul_rmse_hours_mean,rul_phm_score_mean,rul_asym_score_mean
pronostia,ctl_lifefrac,3,17,0.1088,0.0885,0.1476,0.2031,0.1175,0.0423,0.285,0.1871,0.3809,0.7654,0.2836,0.1857,-0.2803,0.2803,0.0143,0.335,48.3122,0.3987
pronostia,ctl_elapsed,3,17,0.2569,0.2405,0.2714,0.3242,0.2501,0.0432,0.4509,0.3425,0.9258,1.0479,0.5808,0.3214,-0.2542,0.2542,0.0126,0.6656,99.6214,0.8304
pronostia,abl_no_smooth,3,17,0.2775,0.2687,0.2879,0.3194,0.2662,0.039,0.4638,0.3598,0.977,1.1586,0.6331,0.366,-0.2053,0.2053,0.0118,0.7258,112.9102,0.936
pronostia,abl_cond_noaux,3,17,0.2751,0.265,0.2905,0.3073,0.2665,0.0359,0.482,0.3683,0.98,1.1669,0.6392,0.3727,0.0151,-0.0151,0.0149,0.7292,113.7229,0.9343
pronostia,ctl_hc10,3,17,0.2772,0.265,0.2855,0.3126,0.2676,0.0383,0.5133,0.3671,1.0212,1.1858,0.6452,0.3875,-0.262,0.262,0.0147,0.7391,116.8202,0.9566
pronostia,abl_no_mono,3,17,0.2756,0.2662,0.2892,0.3627,0.2683,0.0439,0.4904,0.3671,0.9826,1.1752,0.6382,0.3689,-0.243,0.243,0.0161,0.7314,113.1145,0.9313
pronostia,vtoi_traj,3,17,0.2763,0.2682,0.2874,0.3547,0.2699,0.0422,0.4901,0.3617,0.9863,1.1794,0.6433,0.3753,-0.2157,0.2157,0.0142,0.7364,114.5328,0.9411
pronostia,abl_E_only,3,17,0.278,0.2601,0.29,0.3183,0.2707,0.0336,0.4858,0.3605,0.992,1.1828,0.6474,0.374,-0.2569,0.2569,0.0128,0.7411,115.1442,0.9449
pronostia,ctl_scalar,3,17,0.276,0.2617,0.2915,0.349,0.2708,0.0379,0.4823,0.3643,1.0099,1.1791,0.6465,0.3716,-0.2271,0.2271,0.0163,0.7409,115.1098,0.9441
pronostia,ctl_random,3,17,0.2803,0.2698,0.2887,0.343,0.271,0.0418,0.4815,0.3632,0.9744,1.1845,0.6426,0.3739,-0.2484,0.2484,0.0171,0.7343,114.3078,0.9476
pronostia,vtoi_static,3,17,0.2829,0.2732,0.2911,0.3341,0.2712,0.0379,0.4927,0.3639,1.0144,1.1789,0.6479,0.3766,-0.2385,0.2385,0.016,0.7375,115.5513,0.9487
pronostia,ctl_nodeg,3,17,0.2786,0.2686,0.2914,0.3373,0.2715,0.0396,0.5025,0.3643,1.0017,1.1953,0.6486,0.3792,-0.1994,0.1994,0.014,0.7428,115.4174,0.9457
pronostia,ctl_EC,3,17,0.2799,0.2617,0.2972,0.3599,0.2719,0.0443,0.4931,0.3626,0.9812,1.1847,0.6475,0.378,-0.2183,0.2183,0.0139,0.7366,113.7165,0.928
pronostia,ctl_shuffled,3,17,0.2828,0.2722,0.2915,0.3459,0.272,0.0438,0.4869,0.3662,0.9707,1.2043,0.6462,0.3777,-0.2173,0.2173,0.0176,0.736,113.7305,0.9323
pronostia,abl_no_idxhead,3,17,0.2852,0.2662,0.2911,0.3408,0.2725,0.039,0.4898,0.3638,0.9838,1.1803,0.65,0.3775,-0.212,0.212,0.0169,0.7423,115.6795,0.9494
pronostia,transformer_vib,3,17,0.2809,0.2681,0.2915,0.3098,0.2728,0.0315,0.4765,0.3644,1.058,1.1887,0.6555,0.3824,0.0225,-0.0225,0.0144,0.7466,117.3417,0.9594
