dataset,detector,onset_frac,precision,recall,lead
PRONOSTIA,Kurtosis 3-sigma,0.5,0.836,0.624,-76.0
PRONOSTIA,Kurtosis 3-sigma,0.6,0.774,0.676,-21.0
PRONOSTIA,Kurtosis 3-sigma,0.7,0.693,0.738,86.0
PRONOSTIA,Kurtosis 3-sigma,0.8,0.567,0.799,252.0
PRONOSTIA,Kurtosis 3-sigma,data-driven(RMS 3sigma),0.681,0.807,7.0
PRONOSTIA,Kurtosis k-sigma (train-selected),0.5,0.748,0.636,147.5
PRONOSTIA,Kurtosis k-sigma (train-selected),0.6,0.681,0.663,311.0
PRONOSTIA,Kurtosis k-sigma (train-selected),0.7,0.614,0.707,394.0
PRONOSTIA,Kurtosis k-sigma (train-selected),0.8,0.516,0.754,477.5
PRONOSTIA,RMS 3-sigma,0.5,0.818,0.519,-171.5
PRONOSTIA,RMS 3-sigma,0.6,0.774,0.564,-71.0
PRONOSTIA,RMS 3-sigma,0.7,0.707,0.608,33.0
PRONOSTIA,RMS 3-sigma,0.8,0.604,0.646,133.0
PRONOSTIA,RMS k-sigma (train-selected),0.5,0.611,0.836,663.0
PRONOSTIA,RMS k-sigma (train-selected),0.6,0.524,0.838,805.0
PRONOSTIA,RMS k-sigma (train-selected),0.7,0.437,0.843,948.0
PRONOSTIA,RMS k-sigma (train-selected),0.8,0.35,0.853,1091.0
PRONOSTIA,"VTOI (tau=0.30, train-selected)",0.5,0.955,0.379,-368.0
PRONOSTIA,"VTOI (tau=0.30, train-selected)",0.6,0.917,0.415,-226.0
PRONOSTIA,"VTOI (tau=0.30, train-selected)",0.7,0.873,0.468,-133.0
PRONOSTIA,"VTOI (tau=0.30, train-selected)",0.8,0.794,0.525,-81.0
PRONOSTIA,VTOI (tau=0.6),data-driven(RMS 3sigma),0.75,0.316,-208.5
PRONOSTIA,"VTOI (tau=0.6, a priori)",0.5,0.765,0.164,-374.0
PRONOSTIA,"VTOI (tau=0.6, a priori)",0.6,0.753,0.19,-267.0
PRONOSTIA,"VTOI (tau=0.6, a priori)",0.7,0.739,0.232,-164.0
PRONOSTIA,"VTOI (tau=0.6, a priori)",0.8,0.691,0.269,-99.0
XJTU-SY,Kurtosis 3-sigma,0.5,0.591,0.399,-15.5
XJTU-SY,Kurtosis 3-sigma,0.6,0.554,0.432,-3.5
XJTU-SY,Kurtosis 3-sigma,0.7,0.49,0.455,9.0
XJTU-SY,Kurtosis 3-sigma,0.8,0.417,0.482,21.0
XJTU-SY,Kurtosis 3-sigma,data-driven(RMS 3sigma),0.656,0.601,-0.5
XJTU-SY,Kurtosis k-sigma (train-selected),0.5,0.496,0.745,113.0
XJTU-SY,Kurtosis k-sigma (train-selected),0.6,0.411,0.748,140.5
XJTU-SY,Kurtosis k-sigma (train-selected),0.7,0.325,0.752,165.5
XJTU-SY,Kurtosis k-sigma (train-selected),0.8,0.24,0.762,190.5
XJTU-SY,RMS 3-sigma,0.5,0.864,0.73,0.0
XJTU-SY,RMS 3-sigma,0.6,0.78,0.77,15.0
XJTU-SY,RMS 3-sigma,0.7,0.666,0.8,19.0
XJTU-SY,RMS 3-sigma,0.8,0.535,0.834,28.0
XJTU-SY,RMS k-sigma (train-selected),0.5,0.821,0.842,17.0
XJTU-SY,RMS k-sigma (train-selected),0.6,0.715,0.872,36.0
XJTU-SY,RMS k-sigma (train-selected),0.7,0.59,0.902,50.0
XJTU-SY,RMS k-sigma (train-selected),0.8,0.44,0.92,68.0
XJTU-SY,"VTOI (tau=0.30, train-selected)",0.5,0.929,0.616,-16.0
XJTU-SY,"VTOI (tau=0.30, train-selected)",0.6,0.878,0.684,-5.0
XJTU-SY,"VTOI (tau=0.30, train-selected)",0.7,0.795,0.762,2.0
XJTU-SY,"VTOI (tau=0.30, train-selected)",0.8,0.649,0.818,12.0
XJTU-SY,VTOI (tau=0.6),data-driven(RMS 3sigma),0.867,0.539,-21.0
XJTU-SY,"VTOI (tau=0.6, a priori)",0.5,0.841,0.423,-36.0
XJTU-SY,"VTOI (tau=0.6, a priori)",0.6,0.815,0.488,-10.0
XJTU-SY,"VTOI (tau=0.6, a priori)",0.7,0.758,0.559,-3.0
XJTU-SY,"VTOI (tau=0.6, a priori)",0.8,0.645,0.615,2.0
