dataset,config,n_seeds,mean_over_seeds,std_over_seeds,min_seed,max_seed
pronostia,ctl_lifefrac,3,0.1175,0.0057,0.1134,0.124
pronostia,ctl_elapsed,3,0.2501,0.0075,0.2421,0.2569
pronostia,abl_no_smooth,3,0.2662,0.0001,0.266,0.2663
pronostia,abl_cond_noaux,3,0.2665,0.0016,0.2649,0.2681
pronostia,ctl_hc10,3,0.2676,0.0008,0.2669,0.2684
pronostia,abl_no_mono,3,0.2683,0.0036,0.2653,0.2724
pronostia,vtoi_traj,3,0.2699,0.0033,0.2664,0.2728
pronostia,abl_E_only,3,0.2707,0.0092,0.2613,0.2798
pronostia,ctl_scalar,3,0.2708,0.007,0.2637,0.2777
pronostia,ctl_random,3,0.271,0.0069,0.2636,0.2774
pronostia,vtoi_static,3,0.2712,0.0042,0.268,0.276
pronostia,ctl_nodeg,3,0.2715,0.0049,0.2685,0.2772
pronostia,ctl_EC,3,0.2719,0.0009,0.2708,0.2724
pronostia,ctl_shuffled,3,0.272,0.0009,0.271,0.2727
pronostia,abl_no_idxhead,3,0.2725,0.0007,0.2718,0.2732
pronostia,transformer_vib,3,0.2728,0.0043,0.2685,0.2771
pronostia,tcn_vib,3,0.2876,0.0044,0.2839,0.2925
pronostia,tcn_transformer_vib,3,0.2936,0.0059,0.29,0.3004
pronostia,cnn_bilstm_attn_vib,3,0.3451,0.0085,0.3366,0.3535
xjtu_sy,ctl_lifefrac,3,0.1423,0.0215,0.1203,0.1633
xjtu_sy,ctl_elapsed,3,0.2297,0.0069,0.2231,0.2369
xjtu_sy,ctl_random,3,0.2369,0.0024,0.2349,0.2395
xjtu_sy,vtoi_traj,3,0.2374,0.0074,0.2312,0.2455
xjtu_sy,abl_no_smooth,3,0.2378,0.0073,0.2294,0.2425
xjtu_sy,ctl_hc10,3,0.2381,0.0034,0.2345,0.2413
xjtu_sy,abl_no_mono,3,0.2392,0.0112,0.2318,0.252
xjtu_sy,vtoi_static,3,0.2393,0.0079,0.2324,0.2479
xjtu_sy,ctl_scalar,3,0.2399,0.0014,0.2384,0.2412
xjtu_sy,ctl_shuffled,3,0.24,0.0051,0.2346,0.2447
xjtu_sy,ctl_nodeg,3,0.2402,0.0011,0.239,0.2412
xjtu_sy,abl_no_idxhead,3,0.2407,0.005,0.2357,0.2457
xjtu_sy,abl_E_only,3,0.2416,0.0084,0.2354,0.2511
xjtu_sy,transformer_vib,3,0.2423,0.0073,0.2338,0.2465
xjtu_sy,ctl_EC,3,0.2441,0.0087,0.2368,0.2537
xjtu_sy,abl_cond_noaux,3,0.2449,0.011,0.2351,0.2567
xjtu_sy,tcn_vib,3,0.2705,0.0109,0.2598,0.2817
xjtu_sy,tcn_transformer_vib,3,0.2731,0.0087,0.2676,0.2832
xjtu_sy,cnn_bilstm_attn_vib,3,0.2741,0.0076,0.2679,0.2826
