dataset,bearing,quantity,min,max,iqr,sat_at_1_frac
PRONOSTIA,Full_Test_Set_Bearing1_3,E_norm,0.0358,1.0,0.6865,0.2168
PRONOSTIA,Full_Test_Set_Bearing1_3,C_norm,0.0495,1.0,0.7997,0.2539
PRONOSTIA,Full_Test_Set_Bearing1_3,VTOI,0.0537,1.0,0.695,0.1891
PRONOSTIA,Full_Test_Set_Bearing1_4,E_norm,0.0383,1.0,0.0862,0.1954
PRONOSTIA,Full_Test_Set_Bearing1_4,C_norm,0.0314,1.0,0.128,0.0028
PRONOSTIA,Full_Test_Set_Bearing1_4,VTOI,0.0485,1.0,0.082,0.0028
PRONOSTIA,Full_Test_Set_Bearing1_5,E_norm,0.0,0.5251,0.0413,0.0
PRONOSTIA,Full_Test_Set_Bearing1_5,C_norm,0.0029,0.9239,0.0673,0.0
PRONOSTIA,Full_Test_Set_Bearing1_5,VTOI,0.0121,0.5356,0.0377,0.0
PRONOSTIA,Full_Test_Set_Bearing1_6,E_norm,0.0435,0.8643,0.0376,0.0
PRONOSTIA,Full_Test_Set_Bearing1_6,C_norm,0.0153,1.0,0.0856,0.0025
PRONOSTIA,Full_Test_Set_Bearing1_6,VTOI,0.0493,0.8806,0.0385,0.0
PRONOSTIA,Full_Test_Set_Bearing1_7,E_norm,0.0,0.7145,0.1495,0.0
PRONOSTIA,Full_Test_Set_Bearing1_7,C_norm,0.0,0.8222,0.1219,0.0
PRONOSTIA,Full_Test_Set_Bearing1_7,VTOI,0.0023,0.7272,0.1421,0.0
PRONOSTIA,Full_Test_Set_Bearing2_3,E_norm,0.027,0.9495,0.0171,0.0
PRONOSTIA,Full_Test_Set_Bearing2_3,C_norm,0.0,1.0,0.0996,0.001
PRONOSTIA,Full_Test_Set_Bearing2_3,VTOI,0.0235,0.9418,0.0167,0.0
PRONOSTIA,Full_Test_Set_Bearing2_4,E_norm,0.0318,0.8035,0.0692,0.0
PRONOSTIA,Full_Test_Set_Bearing2_4,C_norm,0.0419,0.7873,0.0778,0.0
PRONOSTIA,Full_Test_Set_Bearing2_4,VTOI,0.0474,0.7994,0.0628,0.0
PRONOSTIA,Full_Test_Set_Bearing2_5,E_norm,0.0274,0.7615,0.0194,0.0
PRONOSTIA,Full_Test_Set_Bearing2_5,C_norm,0.0,0.7944,0.0714,0.0
PRONOSTIA,Full_Test_Set_Bearing2_5,VTOI,0.0319,0.7617,0.0227,0.0
PRONOSTIA,Full_Test_Set_Bearing2_6,E_norm,0.0551,0.8659,0.0627,0.0
PRONOSTIA,Full_Test_Set_Bearing2_6,C_norm,0.0136,0.9194,0.0593,0.0
PRONOSTIA,Full_Test_Set_Bearing2_6,VTOI,0.0641,0.8484,0.0555,0.0
PRONOSTIA,Full_Test_Set_Bearing2_7,E_norm,0.0488,0.9602,0.0437,0.0
PRONOSTIA,Full_Test_Set_Bearing2_7,C_norm,0.0487,1.0,0.0861,0.0043
PRONOSTIA,Full_Test_Set_Bearing2_7,VTOI,0.0672,0.965,0.0494,0.0
PRONOSTIA,Full_Test_Set_Bearing3_3,E_norm,0.0314,0.6847,0.2416,0.0
PRONOSTIA,Full_Test_Set_Bearing3_3,C_norm,0.0446,0.6938,0.1287,0.0
PRONOSTIA,Full_Test_Set_Bearing3_3,VTOI,0.0442,0.67,0.2262,0.0
PRONOSTIA,Learning_set_Bearing1_1,E_norm,0.0,0.7551,0.1812,0.0
PRONOSTIA,Learning_set_Bearing1_1,C_norm,0.0281,1.0,0.2284,0.0014
PRONOSTIA,Learning_set_Bearing1_1,VTOI,0.0052,0.7845,0.1833,0.0
PRONOSTIA,Learning_set_Bearing1_2,E_norm,0.0176,0.5635,0.0418,0.0
PRONOSTIA,Learning_set_Bearing1_2,C_norm,0.0,0.6344,0.294,0.0
PRONOSTIA,Learning_set_Bearing1_2,VTOI,0.0197,0.5647,0.0631,0.0
PRONOSTIA,Learning_set_Bearing2_1,E_norm,0.0185,0.4982,0.0461,0.0
PRONOSTIA,Learning_set_Bearing2_1,C_norm,0.0201,0.7536,0.1047,0.0
PRONOSTIA,Learning_set_Bearing2_1,VTOI,0.0323,0.5271,0.0518,0.0
PRONOSTIA,Learning_set_Bearing2_2,E_norm,0.0516,0.922,0.2527,0.0
PRONOSTIA,Learning_set_Bearing2_2,C_norm,0.0473,0.9634,0.177,0.0
PRONOSTIA,Learning_set_Bearing2_2,VTOI,0.0514,0.9269,0.2434,0.0
PRONOSTIA,Learning_set_Bearing3_1,E_norm,0.0358,0.8049,0.0417,0.0
PRONOSTIA,Learning_set_Bearing3_1,C_norm,0.0407,0.9529,0.0922,0.0
PRONOSTIA,Learning_set_Bearing3_1,VTOI,0.0482,0.8241,0.0434,0.0
PRONOSTIA,Learning_set_Bearing3_2,E_norm,0.0,0.529,0.0202,0.0
PRONOSTIA,Learning_set_Bearing3_2,C_norm,0.0073,0.9001,0.1066,0.0
PRONOSTIA,Learning_set_Bearing3_2,VTOI,0.004,0.5553,0.0221,0.0
XJTU-SY,35Hz12kN_Bearing1_1,E_norm,0.0013,0.9914,0.6112,0.0
XJTU-SY,35Hz12kN_Bearing1_1,C_norm,0.0,1.0,0.1835,0.0081
XJTU-SY,35Hz12kN_Bearing1_1,VTOI,0.0013,0.9914,0.6112,0.0
XJTU-SY,35Hz12kN_Bearing1_2,E_norm,0.0,0.9892,0.4503,0.0
XJTU-SY,35Hz12kN_Bearing1_2,C_norm,0.0449,1.0,0.5516,0.0559
XJTU-SY,35Hz12kN_Bearing1_2,VTOI,0.0,0.9892,0.4503,0.0
XJTU-SY,35Hz12kN_Bearing1_3,E_norm,0.0,1.0,0.5627,0.057
XJTU-SY,35Hz12kN_Bearing1_3,C_norm,0.0396,1.0,0.2565,0.038
XJTU-SY,35Hz12kN_Bearing1_3,VTOI,0.0,1.0,0.5627,0.057
XJTU-SY,35Hz12kN_Bearing1_4,E_norm,0.0002,0.766,0.1751,0.0
XJTU-SY,35Hz12kN_Bearing1_4,C_norm,0.0352,1.0,0.1033,0.0082
XJTU-SY,35Hz12kN_Bearing1_4,VTOI,0.0002,0.766,0.1751,0.0
XJTU-SY,35Hz12kN_Bearing1_5,E_norm,0.0144,1.0,0.6207,0.0385
XJTU-SY,35Hz12kN_Bearing1_5,C_norm,0.054,1.0,0.7799,0.25
XJTU-SY,35Hz12kN_Bearing1_5,VTOI,0.0144,1.0,0.6207,0.0385
XJTU-SY,37.5Hz11kN_Bearing2_1,E_norm,0.0,1.0,0.0342,0.0102
XJTU-SY,37.5Hz11kN_Bearing2_1,C_norm,0.0141,1.0,0.0748,0.0102
XJTU-SY,37.5Hz11kN_Bearing2_1,VTOI,0.0,1.0,0.0342,0.0102
XJTU-SY,37.5Hz11kN_Bearing2_2,E_norm,0.0072,1.0,0.8935,0.1056
XJTU-SY,37.5Hz11kN_Bearing2_2,C_norm,0.0552,1.0,0.6173,0.1056
XJTU-SY,37.5Hz11kN_Bearing2_2,VTOI,0.0072,1.0,0.8935,0.1056
XJTU-SY,37.5Hz11kN_Bearing2_3,E_norm,0.0,0.9775,0.6091,0.0
XJTU-SY,37.5Hz11kN_Bearing2_3,C_norm,0.0481,1.0,0.4119,0.0432
XJTU-SY,37.5Hz11kN_Bearing2_3,VTOI,0.0,0.9775,0.6091,0.0
XJTU-SY,37.5Hz11kN_Bearing2_4,E_norm,0.0,0.9358,0.5424,0.0
XJTU-SY,37.5Hz11kN_Bearing2_4,C_norm,0.0021,1.0,0.5802,0.0476
XJTU-SY,37.5Hz11kN_Bearing2_4,VTOI,0.0,0.9358,0.5424,0.0
XJTU-SY,37.5Hz11kN_Bearing2_5,E_norm,0.0,0.8838,0.6123,0.0
XJTU-SY,37.5Hz11kN_Bearing2_5,C_norm,0.0,0.9458,0.2847,0.0
XJTU-SY,37.5Hz11kN_Bearing2_5,VTOI,0.0,0.8838,0.6123,0.0
XJTU-SY,40Hz10kN_Bearing3_1,E_norm,0.0,1.0,0.0417,0.0067
XJTU-SY,40Hz10kN_Bearing3_1,C_norm,0.0,1.0,0.0648,0.002
XJTU-SY,40Hz10kN_Bearing3_1,VTOI,0.0,1.0,0.0417,0.0067
XJTU-SY,40Hz10kN_Bearing3_2,E_norm,0.0,0.7796,0.1618,0.0
XJTU-SY,40Hz10kN_Bearing3_2,C_norm,0.0,0.8871,0.128,0.0
XJTU-SY,40Hz10kN_Bearing3_2,VTOI,0.0,0.7796,0.1618,0.0
XJTU-SY,40Hz10kN_Bearing3_3,E_norm,0.0,0.9705,0.0711,0.0
XJTU-SY,40Hz10kN_Bearing3_3,C_norm,0.0,1.0,0.0695,0.0162
XJTU-SY,40Hz10kN_Bearing3_3,VTOI,0.0,0.9705,0.0711,0.0
XJTU-SY,40Hz10kN_Bearing3_4,E_norm,0.0,1.0,0.0528,0.035
XJTU-SY,40Hz10kN_Bearing3_4,C_norm,0.0,1.0,0.0829,0.0079
XJTU-SY,40Hz10kN_Bearing3_4,VTOI,0.0,1.0,0.0528,0.035
XJTU-SY,40Hz10kN_Bearing3_5,E_norm,0.0,0.4907,0.2434,0.0
XJTU-SY,40Hz10kN_Bearing3_5,C_norm,0.0,0.3054,0.0786,0.0
XJTU-SY,40Hz10kN_Bearing3_5,VTOI,0.0,0.4907,0.2434,0.0
