dataset,a,mean,std,count
pronostia,0.0,0.33763952941176467,0.024976680940711836,51
pronostia,0.01,0.3468266470588235,0.025235992672231877,51
pronostia,0.02,0.3536620588235294,0.02521557923063579,51
pronostia,0.03,0.35855964705882354,0.025274998976714938,51
pronostia,0.04,0.3645655882352941,0.025112463043020262,51
pronostia,0.05,0.3705432941176471,0.02499808419242893,51
pronostia,0.06,0.3749145882352941,0.02476747843699594,51
pronostia,0.07,0.3792628823529412,0.024786045194542083,51
pronostia,0.08,0.3832921764705882,0.02480826680097252,51
pronostia,0.09,0.38812235294117653,0.0247110015805297,51
pronostia,0.1,0.39270429411764707,0.02460673273418811,51
pronostia,0.11,0.3972001176470588,0.024499467180856865,51
pronostia,0.12,0.40084988235294117,0.024505269244509086,51
pronostia,0.13,0.4051903529411765,0.024210509545917056,51
pronostia,0.14,0.4093585294117647,0.02407318534498744,51
pronostia,0.15,0.41420005882352945,0.02385155894394475,51
pronostia,0.16,0.41912258823529414,0.023515395028939207,51
pronostia,0.17,0.4240134705882353,0.023537689315098833,51
pronostia,0.18,0.4290832352941176,0.023281785409704502,51
pronostia,0.19,0.43408082352941174,0.023335283770895863,51
pronostia,0.2,0.43841882352941175,0.023126256942882808,51
pronostia,0.21,0.44409976470588236,0.022910052994777854,51
pronostia,0.22,0.44808358823529415,0.022911316263520495,51
pronostia,0.23,0.45288464705882353,0.022617577331644993,51
pronostia,0.24,0.4578545882352941,0.02221533712656773,51
pronostia,0.25,0.46286823529411764,0.022277745227547822,51
pronostia,0.26,0.46805717647058825,0.02212267830865503,51
pronostia,0.27,0.47337235294117647,0.021907293544227244,51
pronostia,0.28,0.47798723529411763,0.021926225455000902,51
pronostia,0.29,0.4825554705882353,0.021658858657235797,51
pronostia,0.3,0.48839888235294115,0.021511086192609656,51
pronostia,0.31,0.49224488235294117,0.021599246811541416,51
pronostia,0.32,0.4961777647058824,0.02129300570947017,51
pronostia,0.33,0.5011395294117647,0.020784029676992784,51
pronostia,0.34,0.5045094705882353,0.02064044580366705,51
pronostia,0.35,0.5091931176470588,0.020447149917430605,51
pronostia,0.36,0.5144274705882353,0.020478407007726886,51
pronostia,0.37,0.5203010588235294,0.020334370850765705,51
pronostia,0.38,0.5256493529411764,0.020587119946047363,51
pronostia,0.39,0.5301834705882352,0.020404368123863037,51
pronostia,0.4,0.5344836470588235,0.020016499735791515,51
pronostia,0.41,0.5408224705882353,0.019822767779856518,51
pronostia,0.42,0.5459535294117647,0.019764408320365107,51
pronostia,0.43,0.5506842941176471,0.01965778585222061,51
pronostia,0.44,0.5547188823529412,0.01947808954866678,51
pronostia,0.45,0.559724705882353,0.019234076827645368,51
pronostia,0.46,0.5659158235294117,0.01923840172229065,51
pronostia,0.47,0.5712113529411765,0.019376774257676144,51
pronostia,0.48,0.5761044705882353,0.019356676749228346,51
pronostia,0.49,0.5811013529411765,0.01907847229400042,51
pronostia,0.5,0.5872091764705882,0.01901497946431274,51
pronostia,0.51,0.592907294117647,0.01883489021714129,51
pronostia,0.52,0.5971278235294117,0.01888114788746265,51
pronostia,0.53,0.6011387647058823,0.018618211892218045,51
pronostia,0.54,0.6060288823529412,0.01824744944878277,51
pronostia,0.55,0.612029,0.01817119801113841,51
pronostia,0.56,0.6161784705882353,0.018016633271899552,51
pronostia,0.57,0.6198868235294118,0.01786823872988707,51
pronostia,0.58,0.6253457058823529,0.017915509610719013,51
pronostia,0.59,0.6313878823529411,0.018509563200299544,51
pronostia,0.6,0.6359371764705883,0.01882717833208775,51
pronostia,0.61,0.6397511764705882,0.018576192005581638,51
pronostia,0.62,0.6437651176470588,0.0183961313787949,51
pronostia,0.63,0.6458267058823529,0.017924110380483735,51
pronostia,0.64,0.6503591764705883,0.01755927142532501,51
pronostia,0.65,0.6548828823529412,0.017708166891744696,51
pronostia,0.66,0.6592079411764706,0.018134783725660228,51
pronostia,0.67,0.663444705882353,0.01827938290019018,51
pronostia,0.68,0.6683075294117646,0.01833145423075096,51
pronostia,0.69,0.6720159411764706,0.017691668240628716,51
pronostia,0.7,0.6755841764705883,0.017533306724866124,51
pronostia,0.71,0.6785862352941177,0.017449081460739667,51
pronostia,0.72,0.6831548823529412,0.017473311495703466,51
pronostia,0.73,0.6880283529411765,0.01779554480517361,51
pronostia,0.74,0.6928641176470588,0.018175265855163755,51
pronostia,0.75,0.6963173529411765,0.01784953822576209,51
pronostia,0.76,0.7004115294117647,0.01769306778865997,51
pronostia,0.77,0.7040745294117647,0.017681961856482933,51
pronostia,0.78,0.7076646470588235,0.017912853380546098,51
pronostia,0.79,0.7112765882352942,0.018193248595208582,51
pronostia,0.8,0.7133257647058824,0.018206295163583644,51
pronostia,0.81,0.7150781176470588,0.0180983588677505,51
pronostia,0.82,0.716864,0.01790386194651869,51
pronostia,0.83,0.7195213529411765,0.018408550245821664,51
pronostia,0.84,0.7210761176470588,0.01868166306156608,51
pronostia,0.85,0.7223963529411764,0.01851060452154229,51
pronostia,0.86,0.7237447647058823,0.01888020513086468,51
pronostia,0.87,0.723866,0.019066306142512243,51
pronostia,0.88,0.7241266470588235,0.01926440476715907,51
pronostia,0.89,0.7227496470588236,0.019369688287449036,51
pronostia,0.9,0.720945,0.019469064707889814,51
pronostia,0.91,0.7196514705882353,0.019434392487909617,51
pronostia,0.92,0.7165158235294118,0.019505116904756963,51
pronostia,0.93,0.7131134705882353,0.019264101734939948,51
pronostia,0.94,0.7094616470588235,0.019863901577307053,51
pronostia,0.95,0.7004844705882353,0.020083419711147753,51
pronostia,0.96,0.6926334117647058,0.019692134158771545,51
pronostia,0.97,0.6863421764705882,0.019396659280098587,51
pronostia,0.98,0.6783292352941177,0.019246144254461185,51
pronostia,0.99,0.6747029411764706,0.019025029535232548,51
pronostia,1.0,0.6769510588235295,0.01885985938803545,51
xjtu_sy,0.0,0.577852,0.038989965291201446,45
xjtu_sy,0.01,0.597556,0.03913835775169928,45
xjtu_sy,0.02,0.6051473333333333,0.03865900297061236,45
xjtu_sy,0.03,0.6085173333333334,0.03803796139803211,45
xjtu_sy,0.04,0.6134518,0.037980913299014714,45
xjtu_sy,0.05,0.6180481333333334,0.03794518326037751,45
xjtu_sy,0.06,0.6223416,0.03765216035236229,45
xjtu_sy,0.07,0.624997,0.03636058628765241,45
xjtu_sy,0.08,0.6285789333333334,0.036653437826733,45
xjtu_sy,0.09,0.634584,0.03678278990234426,45
xjtu_sy,0.1,0.6379580666666667,0.03583151211471922,45
xjtu_sy,0.11,0.6420216666666667,0.036125414583339836,45
xjtu_sy,0.12,0.6448670666666666,0.03563377223186915,45
xjtu_sy,0.13,0.6498914666666666,0.035703053144590505,45
xjtu_sy,0.14,0.6545694666666666,0.03592250044040514,45
xjtu_sy,0.15,0.6590613333333333,0.0352659188555647,45
xjtu_sy,0.16,0.6640868666666666,0.03502206358309262,45
xjtu_sy,0.17,0.6678358,0.03509774862865141,45
xjtu_sy,0.18,0.6731522666666666,0.03458880668616261,45
xjtu_sy,0.19,0.6765848,0.03454657135967461,45
xjtu_sy,0.2,0.6809007333333333,0.0346731791351235,45
xjtu_sy,0.21,0.6862734666666667,0.03480482557425831,45
xjtu_sy,0.22,0.6908706666666666,0.0339939557608809,45
xjtu_sy,0.23,0.6943001333333333,0.033596742282954645,45
xjtu_sy,0.24,0.6979956666666667,0.033262376636374026,45
xjtu_sy,0.25,0.7027635333333334,0.03399996305051469,45
xjtu_sy,0.26,0.7087792,0.033066167563620914,45
xjtu_sy,0.27,0.7132172666666666,0.03255613950784929,45
xjtu_sy,0.28,0.7168418,0.03212588412479876,45
xjtu_sy,0.29,0.7207952666666666,0.03221326749634238,45
xjtu_sy,0.3,0.7258844666666666,0.03181406614691053,45
xjtu_sy,0.31,0.7293928666666667,0.03102970139501247,45
xjtu_sy,0.32,0.7320515333333333,0.03068840621887274,45
xjtu_sy,0.33,0.7350285333333334,0.0309201028647001,45
xjtu_sy,0.34,0.7389192,0.030567501604571088,45
xjtu_sy,0.35,0.741481,0.029795116897816425,45
xjtu_sy,0.36,0.7444238666666667,0.02971499385724933,45
xjtu_sy,0.37,0.7479918,0.029736401256097507,45
xjtu_sy,0.38,0.7524920666666668,0.030014912328858997,45
