dataset,holdout,seed,n_train_bearings,H_max_train,a,b,fitness,a_mono,b_mono,E_lo,E_hi,C_lo,C_hi,holdout_sat_frac,holdout_n_baseline,holdout_cov_estimator,holdout_shrinkage
pronostia,Full_Test_Set_Bearing1_3,42,15,2803,0.86,0.14,0.691424,0.76,0.24,0.2643904975945441,5.839955278738522,0.1743813782948577,5.656876326125421,0.2164210526315789,475,ledoit_wolf,0.0618343921533328
pronostia,Full_Test_Set_Bearing1_4,42,15,2803,0.87,0.13,0.700434,0.77,0.23,0.2650422550156017,7.821341242721736,0.1742758023712402,7.177935693592102,0.1953781512605042,285,ledoit_wolf,0.0721379503723341
pronostia,Full_Test_Set_Bearing1_5,42,15,2803,0.88,0.12,0.710895,0.79,0.21,0.261919032819855,8.75696432827988,0.1723452344628018,7.202178428513792,0.0012180267965895,492,ledoit_wolf,0.1766047951524172
pronostia,Full_Test_Set_Bearing1_6,42,15,2803,0.88,0.12,0.707944,0.79,0.21,0.2619364518293111,8.75209361767562,0.1725567989881106,7.1920487495259815,0.0,489,ledoit_wolf,0.0400819712214189
pronostia,Full_Test_Set_Bearing1_7,42,15,2803,0.88,0.12,0.721486,0.8,0.2,0.2638515473014475,8.732138369500992,0.420229338649534,7.1879067928374765,0.0004426737494466,451,ledoit_wolf,0.3812213816490981
pronostia,Full_Test_Set_Bearing2_3,42,15,2803,0.87,0.13,0.740734,0.8,0.2,0.2662209700939409,8.689890803486412,0.4243020146663206,7.135955200896687,0.0,391,ledoit_wolf,0.0221110682482768
pronostia,Full_Test_Set_Bearing2_4,42,15,2803,0.88,0.12,0.752921,0.79,0.21,0.2656535672465719,8.693475828688642,0.1760596827206343,7.156763784609609,0.0,150,ledoit_wolf,0.0646950412025619
pronostia,Full_Test_Set_Bearing2_5,42,15,2803,0.86,0.14,0.738253,0.79,0.21,0.2657471752385481,8.693312050991455,0.1763181858569728,7.156470124683723,0.0,462,ledoit_wolf,0.1027140265187334
pronostia,Full_Test_Set_Bearing2_6,42,15,2803,0.88,0.12,0.719201,0.79,0.21,0.2696532015031626,8.621090335754063,0.1813278019987993,7.098003569187212,0.0,140,ledoit_wolf,0.0537009892891445
pronostia,Full_Test_Set_Bearing2_7,42,15,2803,0.88,0.12,0.726412,0.79,0.21,0.2699536467635097,8.617106927026219,0.1816155078731228,7.084225431445713,0.0,46,ledoit_wolf,0.1725843398683726
pronostia,Full_Test_Set_Bearing3_3,42,15,2463,0.88,0.12,0.702101,0.79,0.21,0.308509328761863,8.701913019439846,0.1755026568061303,7.152505141922812,0.0,86,ledoit_wolf,0.1433083112186183
pronostia,Learning_set_Bearing1_1,42,15,2463,0.88,0.12,0.715734,0.79,0.21,0.3074566988460002,8.714508170053271,0.1765697697577058,7.169102878363669,0.0767035319300749,560,ledoit_wolf,0.3645851735413777
pronostia,Learning_set_Bearing1_2,42,15,2803,0.88,0.12,0.733679,0.79,0.21,0.2677769861546458,8.63905923080351,0.1814489587465801,7.121726686007456,0.0,174,ledoit_wolf,0.1524896330271712
pronostia,Learning_set_Bearing2_1,42,15,2803,0.88,0.12,0.72736,0.79,0.21,0.2679761346286476,8.634531383566566,0.1798291341552558,7.119497612597569,0.0,182,ledoit_wolf,0.9987890879699848
pronostia,Learning_set_Bearing2_2,42,15,2803,0.88,0.12,0.746969,0.79,0.21,0.2683753209993485,8.631379300301349,0.1805671351696586,7.108039945078359,0.0,159,ledoit_wolf,0.0744018312891905
pronostia,Learning_set_Bearing3_1,42,15,2803,0.87,0.13,0.759917,0.79,0.21,0.3068994674074529,8.656346095919936,0.1782617942347935,7.131074019517808,0.0,103,ledoit_wolf,0.3126393630063375
pronostia,Learning_set_Bearing3_2,42,15,2803,0.89,0.11,0.722953,0.8,0.2,0.2996162928872584,8.588620385505546,0.1739197575171557,6.125155680614951,0.1111789859499083,327,ledoit_wolf,0.2863509130132165
pronostia,Full_Test_Set_Bearing1_3,43,15,2803,0.86,0.14,0.691424,0.76,0.24,0.2643904975945441,5.839955278738522,0.1743813782948577,5.656876326125421,0.2164210526315789,475,ledoit_wolf,0.0618343921533328
pronostia,Full_Test_Set_Bearing1_4,43,15,2803,0.87,0.13,0.700434,0.77,0.23,0.2650422550156017,7.821341242721736,0.1742758023712402,7.177935693592102,0.1953781512605042,285,ledoit_wolf,0.0721379503723341
pronostia,Full_Test_Set_Bearing1_5,43,15,2803,0.88,0.12,0.710895,0.79,0.21,0.261919032819855,8.75696432827988,0.1723452344628018,7.202178428513792,0.0012180267965895,492,ledoit_wolf,0.1766047951524172
pronostia,Full_Test_Set_Bearing1_6,43,15,2803,0.88,0.12,0.707944,0.79,0.21,0.2619364518293111,8.75209361767562,0.1725567989881106,7.1920487495259815,0.0,489,ledoit_wolf,0.0400819712214189
pronostia,Full_Test_Set_Bearing1_7,43,15,2803,0.88,0.12,0.721486,0.8,0.2,0.2638515473014475,8.732138369500992,0.420229338649534,7.1879067928374765,0.0004426737494466,451,ledoit_wolf,0.3812213816490981
pronostia,Full_Test_Set_Bearing2_3,43,15,2803,0.87,0.13,0.740734,0.8,0.2,0.2662209700939409,8.689890803486412,0.4243020146663206,7.135955200896687,0.0,391,ledoit_wolf,0.0221110682482768
pronostia,Full_Test_Set_Bearing2_4,43,15,2803,0.88,0.12,0.752921,0.79,0.21,0.2656535672465719,8.693475828688642,0.1760596827206343,7.156763784609609,0.0,150,ledoit_wolf,0.0646950412025619
pronostia,Full_Test_Set_Bearing2_5,43,15,2803,0.86,0.14,0.738253,0.79,0.21,0.2657471752385481,8.693312050991455,0.1763181858569728,7.156470124683723,0.0,462,ledoit_wolf,0.1027140265187334
pronostia,Full_Test_Set_Bearing2_6,43,15,2803,0.88,0.12,0.719201,0.79,0.21,0.2696532015031626,8.621090335754063,0.1813278019987993,7.098003569187212,0.0,140,ledoit_wolf,0.0537009892891445
pronostia,Full_Test_Set_Bearing2_7,43,15,2803,0.88,0.12,0.726412,0.79,0.21,0.2699536467635097,8.617106927026219,0.1816155078731228,7.084225431445713,0.0,46,ledoit_wolf,0.1725843398683726
pronostia,Full_Test_Set_Bearing3_3,43,15,2463,0.88,0.12,0.702101,0.79,0.21,0.308509328761863,8.701913019439846,0.1755026568061303,7.152505141922812,0.0,86,ledoit_wolf,0.1433083112186183
pronostia,Learning_set_Bearing1_1,43,15,2463,0.88,0.12,0.715734,0.79,0.21,0.3074566988460002,8.714508170053271,0.1765697697577058,7.169102878363669,0.0767035319300749,560,ledoit_wolf,0.3645851735413777
pronostia,Learning_set_Bearing1_2,43,15,2803,0.88,0.12,0.733679,0.79,0.21,0.2677769861546458,8.63905923080351,0.1814489587465801,7.121726686007456,0.0,174,ledoit_wolf,0.1524896330271712
pronostia,Learning_set_Bearing2_1,43,15,2803,0.88,0.12,0.72736,0.79,0.21,0.2679761346286476,8.634531383566566,0.1798291341552558,7.119497612597569,0.0,182,ledoit_wolf,0.9987890879699848
pronostia,Learning_set_Bearing2_2,43,15,2803,0.88,0.12,0.746969,0.79,0.21,0.2683753209993485,8.631379300301349,0.1805671351696586,7.108039945078359,0.0,159,ledoit_wolf,0.0744018312891905
pronostia,Learning_set_Bearing3_1,43,15,2803,0.87,0.13,0.759917,0.79,0.21,0.3068994674074529,8.656346095919936,0.1782617942347935,7.131074019517808,0.0,103,ledoit_wolf,0.3126393630063375
pronostia,Learning_set_Bearing3_2,43,15,2803,0.89,0.11,0.722953,0.8,0.2,0.2996162928872584,8.588620385505546,0.1739197575171557,6.125155680614951,0.1111789859499083,327,ledoit_wolf,0.2863509130132165
pronostia,Full_Test_Set_Bearing1_3,44,15,2803,0.86,0.14,0.691424,0.76,0.24,0.2643904975945441,5.839955278738522,0.1743813782948577,5.656876326125421,0.2164210526315789,475,ledoit_wolf,0.0618343921533328
pronostia,Full_Test_Set_Bearing1_4,44,15,2803,0.87,0.13,0.700434,0.77,0.23,0.2650422550156017,7.821341242721736,0.1742758023712402,7.177935693592102,0.1953781512605042,285,ledoit_wolf,0.0721379503723341
pronostia,Full_Test_Set_Bearing1_5,44,15,2803,0.88,0.12,0.710895,0.79,0.21,0.261919032819855,8.75696432827988,0.1723452344628018,7.202178428513792,0.0012180267965895,492,ledoit_wolf,0.1766047951524172
pronostia,Full_Test_Set_Bearing1_6,44,15,2803,0.88,0.12,0.707944,0.79,0.21,0.2619364518293111,8.75209361767562,0.1725567989881106,7.1920487495259815,0.0,489,ledoit_wolf,0.0400819712214189
pronostia,Full_Test_Set_Bearing1_7,44,15,2803,0.88,0.12,0.721486,0.8,0.2,0.2638515473014475,8.732138369500992,0.420229338649534,7.1879067928374765,0.0004426737494466,451,ledoit_wolf,0.3812213816490981
pronostia,Full_Test_Set_Bearing2_3,44,15,2803,0.87,0.13,0.740734,0.8,0.2,0.2662209700939409,8.689890803486412,0.4243020146663206,7.135955200896687,0.0,391,ledoit_wolf,0.0221110682482768
pronostia,Full_Test_Set_Bearing2_4,44,15,2803,0.88,0.12,0.752921,0.79,0.21,0.2656535672465719,8.693475828688642,0.1760596827206343,7.156763784609609,0.0,150,ledoit_wolf,0.0646950412025619
pronostia,Full_Test_Set_Bearing2_5,44,15,2803,0.86,0.14,0.738253,0.79,0.21,0.2657471752385481,8.693312050991455,0.1763181858569728,7.156470124683723,0.0,462,ledoit_wolf,0.1027140265187334
pronostia,Full_Test_Set_Bearing2_6,44,15,2803,0.88,0.12,0.719201,0.79,0.21,0.2696532015031626,8.621090335754063,0.1813278019987993,7.098003569187212,0.0,140,ledoit_wolf,0.0537009892891445
pronostia,Full_Test_Set_Bearing2_7,44,15,2803,0.88,0.12,0.726412,0.79,0.21,0.2699536467635097,8.617106927026219,0.1816155078731228,7.084225431445713,0.0,46,ledoit_wolf,0.1725843398683726
pronostia,Full_Test_Set_Bearing3_3,44,15,2463,0.88,0.12,0.702101,0.79,0.21,0.308509328761863,8.701913019439846,0.1755026568061303,7.152505141922812,0.0,86,ledoit_wolf,0.1433083112186183
pronostia,Learning_set_Bearing1_1,44,15,2463,0.88,0.12,0.715734,0.79,0.21,0.3074566988460002,8.714508170053271,0.1765697697577058,7.169102878363669,0.0767035319300749,560,ledoit_wolf,0.3645851735413777
pronostia,Learning_set_Bearing1_2,44,15,2803,0.88,0.12,0.733679,0.79,0.21,0.2677769861546458,8.63905923080351,0.1814489587465801,7.121726686007456,0.0,174,ledoit_wolf,0.1524896330271712
pronostia,Learning_set_Bearing2_1,44,15,2803,0.88,0.12,0.72736,0.79,0.21,0.2679761346286476,8.634531383566566,0.1798291341552558,7.119497612597569,0.0,182,ledoit_wolf,0.9987890879699848
pronostia,Learning_set_Bearing2_2,44,15,2803,0.88,0.12,0.746969,0.79,0.21,0.2683753209993485,8.631379300301349,0.1805671351696586,7.108039945078359,0.0,159,ledoit_wolf,0.0744018312891905
pronostia,Learning_set_Bearing3_1,44,15,2803,0.87,0.13,0.759917,0.79,0.21,0.3068994674074529,8.656346095919936,0.1782617942347935,7.131074019517808,0.0,103,ledoit_wolf,0.3126393630063375
pronostia,Learning_set_Bearing3_2,44,15,2803,0.89,0.11,0.722953,0.8,0.2,0.2996162928872584,8.588620385505546,0.1739197575171557,6.125155680614951,0.1111789859499083,327,ledoit_wolf,0.2863509130132165
xjtu_sy,35Hz12kN_Bearing1_1,42,13,2538,1.0,0.0,0.921294,1.0,0.0,0.8212519942304255,8.381776283749856,0.462437660590448,5.391732566817702,0.0,30,ledoit_wolf,0.0631504201216333
xjtu_sy,35Hz12kN_Bearing1_2,42,13,2538,1.0,0.0,0.9056,1.0,0.0,0.824733709606632,8.321754657607743,0.4614417656602901,5.338549292254023,0.0683229813664596,32,ledoit_wolf,0.8684347624225583
xjtu_sy,35Hz12kN_Bearing1_3,42,13,2538,1.0,0.0,0.925663,1.0,0.0,0.8168136329943589,8.320494541534774,0.4616507736465798,5.399246990121434,0.0759493670886076,31,ledoit_wolf,0.1666749678628381
xjtu_sy,35Hz12kN_Bearing1_4,42,13,2538,1.0,0.0,0.950315,1.0,0.0,0.8156080504589795,8.361520748982143,0.4619856158204929,5.338593732616401,0.0,30,ledoit_wolf,0.1346961384996304
xjtu_sy,35Hz12kN_Bearing1_5,42,13,2538,1.0,0.0,0.968763,1.0,0.0,0.8127505880277047,8.35141006361355,0.457727228847136,5.338568684412151,0.0384615384615384,26,diagonal,
xjtu_sy,37.5Hz11kN_Bearing2_1,42,13,2538,1.0,0.0,0.961961,1.0,0.0,0.8113399349421342,8.266646127260076,0.4542506978498491,5.329771678437997,0.0122199592668024,98,ledoit_wolf,0.0594664761470543
xjtu_sy,37.5Hz11kN_Bearing2_2,42,13,2538,1.0,0.0,0.936151,1.0,0.0,0.8124903441400863,8.302461722094293,0.453608569755784,5.208127587132754,0.1055900621118012,32,ledoit_wolf,0.1279674160084546
xjtu_sy,37.5Hz11kN_Bearing2_3,42,13,2538,1.0,0.0,0.938293,1.0,0.0,0.8161558649360711,8.454901094339656,0.4564335191920499,5.296319628076322,0.0056285178236397,106,ledoit_wolf,0.1048790715780479
xjtu_sy,37.5Hz11kN_Bearing2_4,42,13,2538,1.0,0.0,0.922825,1.0,0.0,0.8166735065994128,8.392457153382013,0.4624647691961314,5.4517154825401,0.0476190476190476,21,diagonal,
xjtu_sy,37.5Hz11kN_Bearing2_5,42,13,2496,1.0,0.0,0.978252,1.0,0.0,0.828379378637949,8.502081969194423,0.4318823423548183,5.6195882684973375,0.0058997050147492,67,ledoit_wolf,0.0655819980230172
xjtu_sy,40Hz10kN_Bearing3_1,42,13,1515,1.0,0.0,0.998394,1.0,0.0,0.8484938100936402,8.759714047507128,0.468130026124534,5.882633454341673,0.0283687943262411,507,ledoit_wolf,0.0111403292741513
xjtu_sy,40Hz10kN_Bearing3_2,42,13,2538,1.0,0.0,0.952708,1.0,0.0,0.8173726678838381,8.708462918530447,0.5138316774718944,5.638927330525773,0.0112179487179487,499,ledoit_wolf,0.0192616592669584
xjtu_sy,40Hz10kN_Bearing3_3,42,13,2538,1.0,0.0,0.971995,1.0,0.0,0.797001648625229,8.238165580630698,0.4503099621140264,5.449716624926935,0.0053908355795148,74,ledoit_wolf,0.084898716768323
xjtu_sy,40Hz10kN_Bearing3_4,42,13,2538,1.0,0.0,0.959018,1.0,0.0,0.8092232054192581,8.2218836740809,0.4849352382956287,5.495086525922964,0.0389438943894389,303,ledoit_wolf,0.0160893555758548
xjtu_sy,40Hz10kN_Bearing3_5,42,13,2538,1.0,0.0,0.920027,1.0,0.0,0.8170186708044919,8.380156878758546,0.4957178547313023,5.450899140995964,0.0263157894736842,30,ledoit_wolf,0.0992474714850081
xjtu_sy,35Hz12kN_Bearing1_1,43,13,2538,1.0,0.0,0.921294,1.0,0.0,0.8212519942304255,8.381776283749856,0.462437660590448,5.391732566817702,0.0,30,ledoit_wolf,0.0631504201216333
xjtu_sy,35Hz12kN_Bearing1_2,43,13,2538,1.0,0.0,0.9056,1.0,0.0,0.824733709606632,8.321754657607743,0.4614417656602901,5.338549292254023,0.0683229813664596,32,ledoit_wolf,0.8684347624225583
xjtu_sy,35Hz12kN_Bearing1_3,43,13,2538,1.0,0.0,0.925663,1.0,0.0,0.8168136329943589,8.320494541534774,0.4616507736465798,5.399246990121434,0.0759493670886076,31,ledoit_wolf,0.1666749678628381
xjtu_sy,35Hz12kN_Bearing1_4,43,13,2538,1.0,0.0,0.950315,1.0,0.0,0.8156080504589795,8.361520748982143,0.4619856158204929,5.338593732616401,0.0,30,ledoit_wolf,0.1346961384996304
xjtu_sy,35Hz12kN_Bearing1_5,43,13,2538,1.0,0.0,0.968763,1.0,0.0,0.8127505880277047,8.35141006361355,0.457727228847136,5.338568684412151,0.0384615384615384,26,diagonal,
xjtu_sy,37.5Hz11kN_Bearing2_1,43,13,2538,1.0,0.0,0.961961,1.0,0.0,0.8113399349421342,8.266646127260076,0.4542506978498491,5.329771678437997,0.0122199592668024,98,ledoit_wolf,0.0594664761470543
xjtu_sy,37.5Hz11kN_Bearing2_2,43,13,2538,1.0,0.0,0.936151,1.0,0.0,0.8124903441400863,8.302461722094293,0.453608569755784,5.208127587132754,0.1055900621118012,32,ledoit_wolf,0.1279674160084546
