a,fitness
0.0,0.328729
0.01,0.338412
0.02,0.346083
0.03,0.351568
0.04,0.358161
0.05,0.365148
0.06,0.369017
0.07,0.373781
0.08,0.378627
0.09,0.383623
0.1,0.388413
0.11,0.393965
0.12,0.397318
0.13,0.402181
0.14,0.406731
0.15,0.411766
0.16,0.416722
0.17,0.422151
0.18,0.42755
0.19,0.433074
0.2,0.438774
0.21,0.445475
0.22,0.450051
0.23,0.455775
0.24,0.461095
0.25,0.466991
0.26,0.472376
0.27,0.477664
0.28,0.481999
0.29,0.487566
0.3,0.493969
0.31,0.498445
0.32,0.503308
0.33,0.50868
0.34,0.512174
0.35,0.517956
0.36,0.52417
0.37,0.53099
0.38,0.537377
0.39,0.542232
0.4,0.546405
0.41,0.553613
0.42,0.558656
0.43,0.563642
0.44,0.567718
0.45,0.57305
0.46,0.579472
0.47,0.584376
0.48,0.59031
0.49,0.595877
0.5,0.602368
0.51,0.607918
0.52,0.612459
0.53,0.615769
0.54,0.621401
0.55,0.627518
0.56,0.631198
0.57,0.63504
0.58,0.641289
0.59,0.648972
0.6,0.653995
0.61,0.657146
0.62,0.66124
0.63,0.662116
0.64,0.666705
0.65,0.671484
0.66,0.677084
0.67,0.681367
0.68,0.686974
0.69,0.689486
0.7,0.693973
0.71,0.696555
0.72,0.701853
0.73,0.706978
0.74,0.71223
0.75,0.715243
0.76,0.718937
0.77,0.723054
0.78,0.727478
0.79,0.731309
0.8,0.733894
0.81,0.736132
0.82,0.738536
0.83,0.741101
0.84,0.743651
0.85,0.744679
0.86,0.746166
0.87,0.746956
0.88,0.746969
0.89,0.745981
0.9,0.744035
0.91,0.742522
0.92,0.738764
0.93,0.734798
0.94,0.731443
0.95,0.723008
0.96,0.715282
0.97,0.708422
0.98,0.699646
0.99,0.697229
1.0,0.700985
