a,fitness
0.0,0.543572
0.01,0.564454
0.02,0.573164
0.03,0.577635
0.04,0.581921
0.05,0.587364
0.06,0.592253
0.07,0.59614
0.08,0.602269
0.09,0.607905
0.1,0.613281
0.11,0.615892
0.12,0.620369
0.13,0.624022
0.14,0.628711
0.15,0.635147
0.16,0.639725
0.17,0.644376
0.18,0.649286
0.19,0.653248
0.2,0.656878
0.21,0.662248
0.22,0.668175
0.23,0.673523
0.24,0.677229
0.25,0.679877
0.26,0.688081
0.27,0.69311
0.28,0.697319
0.29,0.701431
0.3,0.706933
0.31,0.711896
0.32,0.716198
0.33,0.718582
0.34,0.722173
0.35,0.726398
0.36,0.729857
0.37,0.733325
0.38,0.737242
0.39,0.741762
0.4,0.747935
0.41,0.752598
0.42,0.758579
0.43,0.762455
0.44,0.766348
0.45,0.76769
0.46,0.773339
0.47,0.777461
0.48,0.78345
0.49,0.788637
0.5,0.785189
0.51,0.78944
0.52,0.791076
0.53,0.793719
0.54,0.797212
0.55,0.802015
0.56,0.806137
0.57,0.809821
0.58,0.813621
0.59,0.817157
0.6,0.818317
0.61,0.81943
0.62,0.822942
0.63,0.825175
0.64,0.828693
0.65,0.828911
0.66,0.830593
0.67,0.835044
0.68,0.839285
0.69,0.836716
0.7,0.840308
0.71,0.839502
0.72,0.839146
0.73,0.839802
0.74,0.841302
0.75,0.844312
0.76,0.845927
0.77,0.845323
0.78,0.846771
0.79,0.846101
0.8,0.844584
0.81,0.845866
0.82,0.849507
0.83,0.848351
0.84,0.846818
0.85,0.845605
0.86,0.851978
0.87,0.852656
0.88,0.855841
0.89,0.858576
0.9,0.859632
0.91,0.867146
0.92,0.876435
0.93,0.878508
0.94,0.87745
0.95,0.880709
0.96,0.8822
0.97,0.891457
0.98,0.894203
0.99,0.914486
1.0,0.938293
