a,fitness
0.0,0.55367
0.01,0.575283
0.02,0.582132
0.03,0.587182
0.04,0.592083
0.05,0.596099
0.06,0.600206
0.07,0.60365
0.08,0.60571
0.09,0.611903
0.1,0.612699
0.11,0.618482
0.12,0.622087
0.13,0.626788
0.14,0.630662
0.15,0.635513
0.16,0.640629
0.17,0.644816
0.18,0.650511
0.19,0.653904
0.2,0.658221
0.21,0.662041
0.22,0.666003
0.23,0.670793
0.24,0.674572
0.25,0.680312
0.26,0.684736
0.27,0.689419
0.28,0.692965
0.29,0.697328
0.3,0.703676
0.31,0.707045
0.32,0.710342
0.33,0.713643
0.34,0.715747
0.35,0.717723
0.36,0.720833
0.37,0.723816
0.38,0.729776
0.39,0.735812
0.4,0.740361
0.41,0.744879
0.42,0.747646
0.43,0.751061
0.44,0.752266
0.45,0.75682
0.46,0.759188
0.47,0.760228
0.48,0.76331
0.49,0.761238
0.5,0.764814
0.51,0.770682
0.52,0.774406
0.53,0.776429
0.54,0.778939
0.55,0.781284
0.56,0.785982
0.57,0.790561
0.58,0.790161
0.59,0.793532
0.6,0.794483
0.61,0.796894
0.62,0.799052
0.63,0.802612
0.64,0.805553
0.65,0.807294
0.66,0.808615
0.67,0.813498
0.68,0.813125
0.69,0.816889
0.7,0.817253
0.71,0.816698
0.72,0.815638
0.73,0.819364
0.74,0.818606
0.75,0.81786
0.76,0.820867
0.77,0.823851
0.78,0.8267
0.79,0.823962
0.8,0.825763
0.81,0.825766
0.82,0.830468
0.83,0.827908
0.84,0.83488
0.85,0.835793
0.86,0.84108
0.87,0.842733
0.88,0.845448
0.89,0.846107
0.9,0.847532
0.91,0.862924
0.92,0.860442
0.93,0.860077
0.94,0.865687
0.95,0.868195
0.96,0.87462
0.97,0.879541
0.98,0.887683
0.99,0.901661
1.0,0.925663
